,casos_2800308,casos_est_2800308,casos_est_min_2800308,casos_est_max_2800308,p_rt1_2800308,p_inc100k_2800308,temp_min_2800308,temp_mean_2800308,temp_max_2800308,temp_amp_2800308,umid_min_2800308,umid_max_2800308,umid_mean_2800308,umid_amp_2800308,pressao_min_2800308,pressao_max_2800308,pressao_mean_2800308,precip_tot_2800308
2010-01-03,0,0.0,0,0,0.0,0.0,25.941641571428573,26.57143728571429,27.201233,1.2595914285714294,77.82861857142858,85.18269785714286,81.50565821428572,7.354079285714278,0.99687226,0.99970335,0.001415545,0.4244057058571428
2010-01-10,0,0.0,0,0,0.0,0.0,25.48698657142857,26.3331365,27.17928642857143,1.69229985714286,75.90964371428572,84.72953428571428,80.31958900000001,8.819890571428559,0.9978563514285714,1.0003876714285715,0.00126566,0.8522985757171428
2010-01-17,0,0.0,0,0,0.0,0.0,26.072710285714287,26.713241714285715,27.35377314285714,1.281062857142853,73.94914928571428,83.66265214285714,78.80590071428571,9.713502857142856,0.9992324,1.0018961714285717,0.0013318857142857,0.4998928528571428
2010-01-24,0,0.0,0,0,0.0,0.0,26.024941428571427,26.649651642857144,27.274361857142857,1.2494204285714297,73.56183142857142,82.20633142857143,77.88408142857142,8.644500000000008,0.9982976571428572,1.000834742857143,0.0012685428571428,0.60125285
2010-01-31,0,0.0,0,0,0.0,0.0,25.633605714285714,26.441111857142857,27.248618,1.615012285714286,77.01447885714286,85.67771428571429,81.34609657142857,8.663235428571426,0.9973415757142856,0.9997597442857142,0.0012090842857142,1.1925414142857145
2010-02-07,0,0.0,0,0,0.5,0.0,26.441441142857144,27.1308855,27.82032985714286,1.378888714285715,73.16931371428572,83.97117442857143,78.57024407142858,10.80186071428571,0.9986104185714284,1.0011198,0.0012546907142858,0.74042287
2010-02-14,0,0.0,0,0,0.5,0.0,26.17143042857143,26.848168571428573,27.52490671428572,1.3534762857142866,74.68268771428572,83.38150928571429,79.0320985,8.698821571428567,0.9968217171428572,0.99942885,0.0013035664285714,0.8140314142857142
2010-02-21,1,1.0,1,1,0.9632679,0.15039675,26.665082714285717,27.311909214285716,27.95873571428572,1.2936530000000026,73.53506128571429,83.05182142857143,78.29344135714285,9.516760142857136,0.9984807357142856,1.0011136714285715,0.0013164678571429,0.5943628691428572
2010-02-28,0,0.0,0,0,0.0,0.0,26.534249428571428,27.2439705,27.95369157142857,1.419442142857143,76.32734142857143,84.35269657142858,80.34001900000001,8.025355142857151,0.9970764071428572,1.0000837042857142,0.0015036485714285,1.4183385714285712
2010-03-07,0,0.0,0,0,0.0,0.0,27.490182,28.106778857142857,28.723375714285712,1.2331937142857117,73.67750571428572,81.88479271428571,77.7811492142857,8.207286999999994,0.9959585442857144,0.99890008,0.0014707678571428,0.165115722
2010-03-14,0,0.0,0,0,0.0,0.0,27.327253142857145,27.7908805,28.25450785714286,0.9272547142857164,74.02487800000002,80.89702285714286,77.46095042857144,6.8721448571428425,0.9966162542857144,1.0000622671428572,0.0017230064285714,0.0570085717142857
2010-03-21,0,0.0,0,0,0.0,0.0,26.03980771428572,26.94955221428572,27.859296714285712,1.8194889999999937,77.86042485714286,87.24722028571429,82.55382257142858,9.386795428571432,0.9979715671428572,1.0011592285714286,0.0015938307142857,1.3846799671428571
2010-03-28,0,0.0,0,0,0.0,0.0,26.488337857142856,27.291032928571425,28.093728,1.6053901428571429,76.64455771428571,86.19604871428571,81.42030321428571,9.551491,0.9973488171428572,1.000206444285714,0.0014288135714284,0.8784657157142857
