,casos_2507507,casos_est_2507507,casos_est_min_2507507,casos_est_max_2507507,p_rt1_2507507,p_inc100k_2507507,temp_min_2507507,temp_mean_2507507,temp_max_2507507,temp_amp_2507507,umid_min_2507507,umid_max_2507507,umid_mean_2507507,umid_amp_2507507,pressao_min_2507507,pressao_max_2507507,pressao_mean_2507507,precip_tot_2507507
2010-01-03,0,0.0,0,0,0.0,0.0,24.765014428571423,26.866555285714284,28.968096142857146,4.203081714285716,72.91531214285715,89.31740657142858,81.11635935714287,16.40209442857143,0.9967205085714286,0.9992848285714284,0.0012821599999999,1.0219185842857144
2010-01-10,0,0.0,0,0,0.0,0.0,24.886762285714287,26.68536142857143,28.48396057142857,3.597198285714285,73.01376628571428,88.14523785714286,80.57950207142858,15.131471571428577,0.9973791928571428,0.99991889,0.0012698485714285,0.7483099854285714
2010-01-17,0,0.0,0,0,0.0,0.0,24.783678285714284,26.68312721428571,28.582576142857143,3.798897857142858,69.70987728571428,87.74299128571428,78.72643428571428,18.033114,0.9986855128571428,1.0013061042857143,0.0013102957142857,0.5496299998571429
2010-01-24,0,0.0,0,0,0.0,0.0,24.538692,26.33168892857143,28.124685857142858,3.5859938571428565,74.41936271428573,89.29764771428572,81.85850521428571,14.878284999999993,0.9973987628571428,1.00028782,0.0014445285714285,0.9563285871428572
2010-01-31,0,0.0,0,0,0.0,0.0,25.104488,27.073754571428573,29.043021142857143,3.938533142857146,73.16883499999999,90.56234357142856,81.86558928571428,17.393508571428583,0.9961848157142856,0.9988717942857144,0.0013434892857142,1.3498985571428572
2010-02-07,0,0.0,0,0,0.5,0.0,25.389282142857144,27.38196242857143,29.37464271428572,3.985360571428572,71.52677785714286,87.90256342857143,79.71467064285714,16.375785571428565,0.9972686642857144,1.0001005328571428,0.0014159342857142,0.5942128571428571
2010-02-14,0,0.0,0,0,0.5,0.0,25.349465428571428,27.189948,29.03043057142857,3.680965142857144,72.13394471428572,88.04602285714286,80.08998378571428,15.91207814285714,0.9957534757142856,0.9984011357142856,0.00132383,0.6658285728571428
2010-02-21,0,0.0,0,0,0.5,0.0,25.566463,27.380658714285715,29.19485442857143,3.6283914285714296,73.94986057142857,89.32328657142857,81.63657357142857,15.373425999999997,0.9974922442857144,1.0001579871428572,0.0013328714285714,0.8786771371428571
2010-02-28,1,1.0,1,1,0.9632679,0.122322515,25.720437285714286,27.779663142857142,29.838889,4.118451714285712,72.07545785714285,89.24443442857144,80.65994614285714,17.168976571428587,0.9965670642857144,0.9993428271428572,0.0013878814285714,0.71766714
2010-03-07,0,0.0,0,0,0.0,0.0,25.76020171428572,28.14495635714286,30.529711,4.769509285714282,63.72131328571429,84.70620785714286,74.21376057142857,20.98489457142857,0.9965468628571428,0.99940018,0.0014266585714286,0.0321914272285714
