,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_mean_2304400,temp_max_2304400,temp_amp_2304400,umid_min_2304400,umid_max_2304400,umid_mean_2304400,umid_amp_2304400,pressao_min_2304400,pressao_max_2304400,pressao_mean_2304400,precip_tot_2304400
2010-01-03,56,56.0,56,56.0,0.0,2.0844097,25.284436857142857,27.01372642857143,28.743016,3.4585791428571437,71.92655428571429,88.83545471428572,80.3810045,16.908900428571428,0.9960763171428572,0.9988268128571428,0.0013752478571428,0.66137285
2010-01-10,55,55.0,55,55.0,0.0,2.047188,25.689043285714288,27.281640142857142,28.874237,3.185193714285713,70.28949185714285,86.82584485714285,78.55766835714286,16.536353000000005,0.9963491942857142,0.9988509442857144,0.001250875,0.8695828512857143
2010-01-17,77,77.0,77,77.0,0.0,2.8660634,25.91444614285714,27.97650585714285,30.03856557142857,4.124119428571429,64.09028871428572,84.1250227142857,74.10765571428571,20.034733999999983,0.9975479971428572,1.0002425,0.0013472514285713,0.2128157142857143
2010-01-24,56,56.0,56,56.0,0.0,2.0844097,25.419743,27.798171928571428,30.17660085714286,4.756857857142858,66.07465971428572,88.41033442857143,77.24249707142857,22.33567471428572,0.9960728757142856,0.9992188471428572,0.0015729857142857,0.6861942785714286
2010-01-31,114,114.0,114,114.0,0.0,4.2432623,25.617575714285717,27.49101471428571,29.364453714285712,3.746877999999999,70.73122571428571,89.9226512857143,80.32693850000001,19.19142557142858,0.9951435014285714,0.9979863228571428,0.0014214107142856,1.870012794285714
2010-02-07,45,45.0,45,45.0,0.003485894,1.674972,26.35787528571429,28.12495857142857,29.892041857142857,3.5341665714285675,70.30839514285715,87.69231228571428,79.00035371428572,17.38391714285713,0.9955878214285716,0.9985137742857144,0.0014629764285714,0.8080299857142857
2010-02-14,81,81.0,81,81.0,0.5723884,3.0149498,25.50129928571429,26.91516121428572,28.329023142857142,2.8277238571428605,78.05461014285713,90.92424728571427,84.48942871428571,12.869637142857158,0.9950076571428572,0.9977453,0.0013688214285714,2.7799800285714285
2010-02-21,56,56.0,56,56.0,0.08354105,2.0844097,26.035038714285715,27.796153714285715,29.55726871428572,3.5222300000000004,72.65952428571428,88.39057314285715,80.52504871428572,15.731048857142866,0.9960191657142856,0.9989388014285714,0.0014598178571428,0.6792514357142857
2010-02-28,105,105.0,105,105.0,0.99710685,3.9082682,26.281638285714283,28.1641695,30.04670071428572,3.765062428571433,72.114157,90.06483642857143,81.08949671428572,17.95067942857142,0.9957116085714286,0.9986991814285714,0.0014937864285713,0.75567999
2010-03-07,61,61.0,61,61.0,0.13811277,2.2705176,26.525007285714285,28.4461365,30.367265714285715,3.84225842857143,69.37725828571429,87.08441485714286,78.23083657142857,17.70715657142857,0.9959564328571427,0.99871964,0.0013816035714285,0.29273429
2010-03-14,73,73.0,73,73.0,0.32045537,2.717177,26.74685685714286,28.58556492857143,30.424273,3.677416142857141,67.41754942857143,86.24878714285714,76.8331682857143,18.831237714285702,0.9959617942857144,0.9994091242857144,0.0017236649999999,0.348322858
2010-03-21,84,84.0,84,84.0,0.754532,3.1266146,26.15567,27.901284142857143,29.64689828571429,3.491228285714289,67.72307057142858,86.80804057142858,77.26555557142858,19.08497,0.9964928614285714,0.9996620342857144,0.0015845864285714,1.5513456714285714
2010-03-28,101,101.0,101,101.0,0.9725745,3.7593818,25.377698714285717,27.210673785714285,29.04364885714286,3.665950142857145,73.39782142857143,90.58129128571429,81.98955635714286,17.183469857142853,0.99559995,0.9991656871428573,0.0017828685714285,1.2265928857142858
2010-04-04,89,89.0,89,89.0,0.6430923,3.3127224,25.440159285714287,27.438419928571427,29.43668057142857,3.996521285714284,76.53062085714285,93.25904514285716,84.894833,16.728424285714297,0.9949106257142856,0.9983317271428572,0.0017105507142857,2.296288571428572
2010-04-11,67,67.0,67,67.0,0.03261795,2.4938474,25.63407685714285,27.346681928571428,29.059287,3.4252101428571464,76.80247714285714,91.19883928571429,84.00065821428572,14.396362142857145,0.99490903,0.9985582857142856,0.0018246278571428,2.5505243
2010-04-18,85,85.0,85,85.0,0.48123053,3.163836,25.50418957142857,27.50189842857143,29.499607285714287,3.995417714285715,73.88262857142857,91.49352085714284,82.6880747142857,17.610892285714286,0.9957139,0.9989794442857144,0.0016327721428571,3.528414302857143
2010-04-25,110,110.0,110,110.0,0.9837424,4.094376,25.85723014285714,27.77212314285714,29.687016142857143,3.829786000000002,70.81840714285714,90.56619414285714,80.69230064285713,19.747787,0.9960183614285716,0.9994128385714286,0.0016972385714285,2.360978512857143
2010-05-02,68,68.0,68,68.0,0.07618177,2.5310688,25.783456142857144,27.63847792857143,29.493499714285715,3.710043571428571,72.278392,90.03883857142857,81.15861528571429,17.760446571428574,0.9966008685714286,1.0000279571428572,0.0017135442857142,1.0709942857142856
2010-05-09,92,92.0,92,92.0,0.56207323,3.4243872,25.659545857142856,27.45469885714286,29.249851857142858,3.5903060000000018,71.68331285714285,90.54672285714284,81.11501785714285,18.86341,0.9961768957142858,0.9996134557142856,0.0017182799999999,1.6850900128571429
2010-05-16,103,103.0,103,103.0,0.88583124,3.8338249,25.977216285714285,27.79013271428571,29.60304914285714,3.625832857142857,68.21776785714285,89.09008800000001,78.65392792857142,20.872320142857163,0.9961495571428572,0.9991811342857142,0.0015157885714285,0.4467099881428572
2010-05-23,106,106.0,106,106.0,0.87210906,3.9454896,26.267233714285712,28.138122428571428,30.00901114285714,3.741777428571428,65.49117614285714,86.35355928571428,75.92236771428571,20.86238314285714,0.9957067771428572,0.9989954342857142,0.0016443285714285,0.3089585714285713
2010-05-30,143,143.0,143,143.0,0.99661255,5.322689,26.441083428571428,28.448024142857143,30.45496485714286,4.01388142857143,63.75245471428571,86.72876114285714,75.24060792857142,22.976306428571423,0.9961569571428572,0.999303374285714,0.0015732085714285,0.4297828557142857
2010-06-06,136,136.0,136,136.0,0.9139636,5.0621376,25.126164285714285,27.422149857142852,29.71813542857143,4.591971142857144,68.74508557142858,89.499202,79.12214378571429,20.75411642857142,0.9990641828571428,1.002159,0.0015474085714285,0.8208828571428572
2010-06-13,148,148.0,148,148.0,0.86607206,5.508797,25.63415542857143,27.941131642857144,30.248107857142852,4.613952428571427,57.97743185714285,85.43719142857142,71.70731164285714,27.45975957142857,0.99896373,1.0021145857142857,0.0015754278571428,0.3537314377142856
2010-06-20,124,124.0,124,124.0,0.2005225,4.6154785,25.11921471428571,27.52517042857143,29.931126142857146,4.811911428571435,61.874974,84.61498757142856,73.24498078571428,22.740013571428555,0.9974426314285714,1.00056817,0.0015627692857143,0.7252828565714287
2010-06-27,129,129.0,129,129.0,0.30893067,4.8015866,24.878431000000003,27.59202785714286,30.30562471428572,5.427193714285714,55.05108485714286,82.56688085714286,68.80898285714287,27.515796,0.9979919171428572,1.00129628,0.0016521814285714,0.1967999971428571
2010-07-04,162,162.0,162,162.0,0.95332414,6.0298996,25.407936857142857,27.70792257142857,30.007908285714286,4.599971428571429,53.96827728571429,82.98301214285713,68.4756447142857,29.014734857142848,0.9981149242857142,1.0009708857142858,0.0014279807142857,0.3339342885714286
2010-07-11,182,182.0,182,182.0,0.9918118,6.7743316,24.74782014285714,27.180474285714283,29.61312842857143,4.865308285714288,59.17827128571429,83.49004128571428,71.33415628571429,24.31177,0.9976994985714286,1.0007470857142855,0.0015237935714285,0.4929242929
2010-07-18,207,207.0,207,207.0,0.9945772,7.704871,24.573970428571425,26.829367642857143,29.084764857142854,4.510794428571433,64.61692000000001,87.99094285714285,76.30393142857143,23.374022857142847,0.9985523828571428,1.00127789,0.0013627535714286,0.9304485585714286
2010-07-25,151,151.0,151,151.0,0.070902996,5.620462,24.494201714285715,27.106513,29.718824285714284,5.224622571428569,54.594789428571424,80.72633328571429,67.66056135714285,26.131543857142866,0.9994366171428573,1.0028213285714285,0.0016923557142856,0.08917429
2010-08-01,171,171.0,171,171.0,0.28374004,6.364894,23.925314857142855,26.81849892857143,29.711683,5.786368142857143,54.126158,81.34543771428571,67.73579785714286,27.21927971428571,0.9974658771428572,1.0009204571428572,0.0017272899999999,0.2772800142857143
2010-08-08,186,186.0,186,186.0,0.76552665,6.923218,23.98279242857143,26.827747928571423,29.672703428571428,5.689910999999999,51.82664614285714,82.40259571428571,67.11462092857143,30.575949571428566,0.99848058,1.0023700142857144,0.0019447171428572,0.0796885714571428
2010-08-15,180,180.0,180,180.0,0.67532945,6.699888,23.665287857142857,26.68938357142857,29.71347928571429,6.048191428571432,51.80165271428571,80.02392342857142,65.91278807142857,28.222270714285717,0.9993576771428572,1.0028796999999998,0.0017610114285713,0.0038642857142857
2010-08-22,146,146.0,146,146.0,0.046361357,5.434354,24.10144028571429,27.00022235714286,29.89900442857143,5.797564142857144,51.72178142857143,83.0238157142857,67.37279857142856,31.30203428571428,0.9987633371428573,1.0027163714285714,0.0019765171428571,0.0488357119571428
2010-08-29,173,173.0,173,173.0,0.53409404,6.439337,24.202676,27.026993,29.85131,5.648634000000001,56.55791357142857,83.77633157142857,70.16712257142856,27.218418,0.9978118471428572,1.0015818142857142,0.0018849835714285,0.0366585728857142
2010-09-05,197,197.0,197,197.0,0.9533676,7.3326554,24.087633285714283,26.931882571428574,29.77613185714286,5.688498571428578,52.33064528571429,82.661745,67.49619514285715,30.331099714285703,0.9982877214285716,1.0021557142857145,0.0019339964285713,0.0221042858571428
2010-09-12,140,140.0,140,140.0,0.043174535,5.2110243,23.95256257142857,26.724404428571425,29.496246285714285,5.5436837142857165,54.78030285714285,82.77770357142857,68.77900321428571,27.997400714285725,0.9982275014285714,1.0022675714285714,0.0020200349999999,0.0443314285714285
2010-09-19,127,127.0,127,127.0,0.0062601264,4.7271433,24.18714242857143,26.999627285714286,29.812112142857146,5.624969714285712,53.16127228571429,80.81595985714286,66.98861607142857,27.654687571428568,0.99690057,1.00082025,0.0019598399999998,0.0083757142714285
2010-09-26,95,95.0,95,95.0,0.00023265916,3.536052,24.290570857142857,27.05635714285714,29.822143428571422,5.531572571428569,53.19090357142857,81.67877114285714,67.43483735714285,28.487867571428573,0.9965908671428572,1.0006734714285714,0.0020413021428571,0.0066800004285714
2010-10-03,118,118.0,118,118.0,0.31908268,4.392149,25.082140000000003,27.247416714285716,29.412693428571423,4.330553428571424,61.85480757142857,85.31975728571429,73.58728242857143,23.46494971428572,0.9957672014285714,0.99955563,0.0018942142857142,0.1272842851571428
2010-10-10,111,111.0,111,111.0,0.483115,4.1315975,25.099762,27.363917785714285,29.62807357142857,4.528311571428571,58.97861314285715,85.24640028571427,72.11250671428571,26.267787142857124,0.99769895,1.0018231,0.0020620749999999,0.0316314284285714
2010-10-17,103,103.0,103,103.0,0.3157272,3.8338249,25.238006714285717,27.61103392857143,29.984061142857144,4.74605442857143,57.76971414285715,83.13849785714285,70.454106,25.368783714285705,0.99672457,1.000883257142857,0.0020793435714285,0.0497357144285714
2010-10-24,82,82.0,82,82.0,0.029625103,3.0521712,25.506522,27.49301571428571,29.479509428571426,3.972987428571425,64.76419428571428,86.199175,75.48168464285715,21.434980714285714,0.9959424671428572,0.9998984671428572,0.0019779999999999,0.1724414299999999
2010-10-31,82,82.0,82,82.0,0.102142595,3.0521712,25.67859328571429,27.684590071428573,29.69058685714285,4.011993571428565,62.13241385714286,82.41829500000001,72.27535442857143,20.28588114285716,0.9952799714285714,0.9985637971428571,0.0016419128571428,0.2432214214242857
2010-11-07,139,139.0,139,139.0,0.9991691,5.1738024,25.894483285714283,27.882592214285715,29.870701142857143,3.97621785714286,61.91524542857143,83.73040828571428,72.82282685714286,21.815162857142845,0.9956113785714286,0.9995206985714286,0.0019546599999999,0.1789642888571428
2010-11-14,195,195.0,195,195.0,0.99999994,7.258212,25.74234885714285,28.00273785714285,30.263126857142858,4.520778000000004,57.573351571428574,83.1582932857143,70.36582242857143,25.58494171428572,0.9948356385714284,0.9987224071428572,0.0019433842857142,0.1058057100571428
2010-11-21,196,196.0,196,196.0,0.99928397,7.295434,25.81873871428571,27.62320157142857,29.42766442857143,3.608925714285718,65.03226014285714,83.65861071428571,74.34543542857142,18.62635057142857,0.9951613014285714,0.9988301885714286,0.0018344435714285,0.2331728571428571
