,casos_2611002,p_rt1_2611002,p_inc100k_2611002,temp_min_2611002,temp_max_2611002,umid_min_2611002,umid_max_2611002,pressao_min_2611002,pressao_max_2611002,precip_tot_2611002,casos_2613404,p_rt1_2613404,p_inc100k_2613404,temp_min_2613404,temp_max_2613404,umid_min_2613404,umid_max_2613404,pressao_min_2613404,pressao_max_2613404,precip_tot_2613404,casos_2611606,p_rt1_2611606,p_inc100k_2611606,temp_min_2611606,temp_max_2611606,umid_min_2611606,umid_max_2611606,pressao_min_2611606,pressao_max_2611606,precip_tot_2611606,casos_2610707,p_rt1_2610707,p_inc100k_2610707,temp_min_2610707,temp_max_2610707,umid_min_2610707,umid_max_2610707,pressao_min_2610707,pressao_max_2610707,precip_tot_2610707,casos_2609600,p_rt1_2609600,p_inc100k_2609600,temp_min_2609600,temp_max_2609600,umid_min_2609600,umid_max_2609600,pressao_min_2609600,pressao_max_2609600,precip_tot_2609600,casos_2607901,p_rt1_2607901,p_inc100k_2607901,temp_min_2607901,temp_max_2607901,umid_min_2607901,umid_max_2607901,pressao_min_2607901,pressao_max_2607901,precip_tot_2607901,casos_2607752,p_rt1_2607752,p_inc100k_2607752,temp_min_2607752,temp_max_2607752,umid_min_2607752,umid_max_2607752,pressao_min_2607752,pressao_max_2607752,precip_tot_2607752,casos_2602902,p_rt1_2602902,p_inc100k_2602902,temp_min_2602902,temp_max_2602902,umid_min_2602902,umid_max_2602902,pressao_min_2602902,pressao_max_2602902,precip_tot_2602902,casos_2600054,p_rt1_2600054,p_inc100k_2600054,temp_min_2600054,temp_max_2600054,umid_min_2600054,umid_max_2600054,pressao_min_2600054,pressao_max_2600054,precip_tot_2600054,temp_mean_2600054,temp_amp_2600054,umid_mean_2600054,umid_amp_2600054,pressao_mean_2600054,temp_mean_2602902,temp_amp_2602902,umid_mean_2602902,umid_amp_2602902,pressao_mean_2602902,temp_mean_2607752,temp_amp_2607752,umid_mean_2607752,umid_amp_2607752,pressao_mean_2607752,temp_mean_2607901,temp_amp_2607901,umid_mean_2607901,umid_amp_2607901,pressao_mean_2607901,temp_mean_2609600,temp_amp_2609600,umid_mean_2609600,umid_amp_2609600,pressao_mean_2609600,temp_mean_2610707,temp_amp_2610707,umid_mean_2610707,umid_amp_2610707,pressao_mean_2610707,temp_mean_2611606,temp_amp_2611606,umid_mean_2611606,umid_amp_2611606,pressao_mean_2611606,temp_mean_2613404,temp_amp_2613404,umid_mean_2613404,umid_amp_2613404,pressao_mean_2613404,temp_mean_2611002,temp_amp_2611002,umid_mean_2611002,umid_amp_2611002,pressao_mean_2611002
2010-01-03,0,0.0,0.0,23.003300285714285,32.075496,47.41239928571429,88.83713114285715,0.9956753842857143,1.0000697742857143,0.5409414257142857,0,0.0,0.0,24.788491571428573,28.611943,71.43224057142858,89.11655571428571,0.9968452142857143,0.9995311928571429,0.8891200057142857,3,0.0,0.1814376,23.566655,29.759870285714282,65.69400485714286,92.452103,0.9969095142857143,0.9996107985714285,0.9793314185714286,0,0.0,0.0,25.84392,27.337899142857143,78.04463571428572,85.20209442857143,0.9968773000000001,0.99937768,0.88999287,0,0.0,0.0,24.916591,28.483477,72.74752028571429,87.92570071428572,0.9968695057142857,0.99943161,0.9825443057142857,0,0.0,0.0,23.566655,29.75987471428571,65.69399,92.45212642857143,0.9969094757142857,0.9996107985714285,0.9793314185714286,0,0.0,0.0,23.59174014285714,30.508675571428572,63.45142285714286,93.06507157142858,0.9967614285714286,0.9995147328571429,0.8754843142857143,0,0.0,0.0,23.7901,28.892682714285716,69.63961942857142,92.07719042857143,0.9969721185714285,0.9996611671428572,1.0829256971428571,0,0.0,0.0,24.676640142857142,29.207846571428572,70.56847885714286,89.54820571428571,0.9967969,0.9993736128571429,0.9544642857142857,26.942243357142857,4.53120642857143,80.05834228571429,18.97972685714285,0.0012883564285714466,26.341391357142857,5.102582714285717,80.85840492857142,22.437571000000005,0.0013445242857143547,27.05020785714286,6.916935428571431,78.25824721428572,29.613648714285716,0.0013766521428571488,26.663264857142856,6.193219714285711,79.07305821428571,26.758136428571433,0.0013506614285714313,26.700034000000002,3.5668860000000002,80.3366105,15.178180428571437,0.0012810521428571753,26.590909571428572,1.4939791428571425,81.62336507142857,7.15745871428571,0.0012501899999999844,26.66326264285714,6.193215285714281,79.07305392857143,26.758098142857136,0.001350642142857128,26.700217285714288,3.8234514285714276,80.27439814285714,17.68431514285713,0.0013429892857143022,27.539398142857145,9.072195714285716,68.12476521428572,41.42473185714286,0.002197194999999985
2010-01-10,0,0.0,0.0,22.598314714285713,32.721972,42.759089857142854,90.12764057142856,0.9964225757142857,1.0004698785714286,0.2385399992857143,0,0.0,0.0,24.586360285714285,28.250204857142855,70.73362242857142,87.22435985714286,0.9976621428571428,1.0002334857142858,0.6633071428571429,1,0.0,0.0604792,23.36196442857143,28.853036,67.72048171428571,90.82334014285713,0.9976445657142856,1.0003137628571428,0.787197148,0,0.0,0.0,25.672960285714286,27.35828514285714,74.16659557142857,84.21198657142857,0.9975777585714286,1.0000221842857142,0.5547757114285714,0,0.0,0.0,24.849639999999997,28.13504442857143,72.02072357142858,86.33177514285714,0.99758734,1.0001020957142857,0.7184485714285714,0,0.0,0.0,23.36196,28.853036,67.72048199999999,90.82338871428571,0.9976445500000001,1.0003137771428572,0.787197148,0,0.0,0.0,23.392870428571428,29.391859,66.69748371428571,91.82690785714286,0.9975023314285715,1.0002099857142857,0.7555542857142857,0,0.0,0.0,23.623561285714285,28.10049857142857,70.69836885714285,90.31912085714285,0.99774897,1.000361177142857,0.7101557228571428,0,0.0,0.0,24.635005428571425,28.644129857142854,70.975821,88.33607142857143,0.9975071814285714,1.000042392857143,0.69063858,26.639567642857138,4.009124428571429,79.6559462142857,17.360250428571433,0.0012676057142857466,25.862029928571427,4.4769372857142855,80.50874485714286,19.620751999999996,0.001306103571428574,26.392364714285712,5.998988571428573,79.26219578571428,25.129424142857147,0.0013538271428570892,26.107498,5.491076,79.27193535714285,23.102906714285723,0.0013346135714285556,26.492342214285713,3.2854044285714323,79.17624935714286,14.311051571428564,0.0012573778571428051,26.515622714285712,1.6853248571428558,79.18929107142857,10.045390999999995,0.0012222128571428015,26.107500214285714,5.49107157142857,79.27191092857143,23.102858428571423,0.0013345985714285913,26.41828257142857,3.6638445714285695,78.97899114285714,16.490737428571435,0.0012856714285714999,27.660143357142857,10.123657285714287,66.4433652142857,47.3685507142857,0.0020236514285714158
2010-01-17,0,0.0,0.0,23.093043714285717,32.520024,47.60814571428572,90.18538142857143,0.9980037199999999,1.0020276000000001,0.9235428142857144,0,0.0,0.0,25.11224357142857,28.025547714285715,71.78474385714286,85.86297771428572,0.9990463357142857,1.0016352714285714,0.9535771285714285,2,0.0,0.1209584,23.713884428571426,28.708513571428572,66.97973485714286,91.02693357142857,0.9990904457142857,1.0017411285714286,0.8144357157142857,0,0.0,0.0,25.96648757142857,27.319074142857144,74.14516128571428,81.96016228571429,0.9989066942857142,1.001441632857143,0.8947500028571429,1,0.0,0.2543785,25.096527142857145,28.133723857142858,71.02115571428571,85.28911514285714,0.9989792042857143,1.001528757142857,0.9025057157142857,0,0.0,0.0,23.713897571428568,28.708522285714285,66.97964328571429,91.02690571428572,0.9990904628571429,1.0017411285714286,0.8144357157142857,0,0.0,0.0,23.572405142857143,29.268371714285713,64.79916657142857,92.632961,0.9989175028571429,1.0016405285714287,0.7205400014285714,0,0.0,0.0,24.005201142857143,27.961016,71.10978728571429,90.18329985714286,0.99919442,1.001778642857143,0.9928385614285714,0,0.0,0.0,24.811444857142856,28.589848142857143,69.07789857142858,87.90224942857142,0.99890938,1.0014783,0.8302300178571428,26.700646499999998,3.778403285714287,78.49007399999999,18.824350857142846,0.0012844600000000428,25.983108571428573,3.955814857142858,80.64654357142857,19.073512571428566,0.0012921114285714408,26.420388428571428,5.6959665714285705,78.71606378571428,27.833794428571423,0.0013615128571429214,26.211209928571428,4.994624714285717,79.0032745,24.04726242857143,0.001325332857142869,26.6151255,3.037196714285713,78.15513542857143,14.26795942857143,0.001274776428571378,26.642780857142856,1.3525865714285743,78.05266178571429,7.815001000000009,0.0012674692857143621,26.211199,4.994629142857146,79.00333421428572,24.047198714285713,0.001325341428571436,26.568895642857143,2.913304142857143,78.82386078571429,14.078233857142862,0.001294467857142878,27.80653385714286,9.426980285714283,68.89676357142858,42.57723571428571,0.002011940000000101
2010-01-24,0,0.0,0.0,22.497183857142858,33.33098042857143,41.31542257142856,89.92650785714285,0.9966023442857143,1.0010183928571428,0.11026142657142857,0,0.0,0.0,24.763846142857144,27.58083242857143,74.71140142857143,87.25933585714286,0.9979862942857143,1.00064,1.4171100085714288,1,0.0,0.0604792,23.133309571428573,28.117144,72.60392142857143,92.84534928571429,0.99797981,1.0007489,1.827792914285714,0,0.0,0.0,25.427320142857145,27.034288714285715,76.79987185714286,86.91895728571428,0.9978119342857142,1.0003966928571428,1.4742856714285715,0,0.0,0.0,24.699236142857142,27.56662414285714,75.73381928571429,89.115365,0.9978442257142858,1.0005062714285715,1.736940037142857,0,0.0,0.0,23.13332257142857,28.11715257142857,72.60384714285715,92.84527942857143,0.9979798000000001,1.0007488857142857,1.827792914285714,0,0.0,0.0,23.08552757142857,28.520267999999998,71.44092357142857,93.77316228571429,0.9978214285714285,1.0006412571428571,1.711215717142857,0,0.0,0.0,23.45826942857143,27.537331571428574,75.16050742857144,92.20454857142856,0.9980787171428572,1.0008079585714287,1.7833828142857142,0,0.0,0.0,24.338392,27.957985857142855,75.02736142857142,90.64990442857143,0.9977431371428571,1.0004534142857142,1.5296928571428572,26.14818892857143,3.6195938571428563,82.83863292857143,15.622543000000007,0.001355138571428549,25.497800500000004,4.079062142857143,83.68252799999999,17.044041142857125,0.0013646207142857247,25.802897785714286,5.434740428571427,82.60704292857143,22.332238714285722,0.0014099142857142977,25.62523757142857,4.9838299999999975,82.72456328571428,20.241432285714282,0.0013845428571427898,26.13293014285714,2.8673879999999983,82.42459214285714,13.381545714285707,0.0013310228571428717,26.23080442857143,1.6069685714285704,81.85941457142857,10.119085428571424,0.0012923792857142957,25.625226785714286,4.983834428571427,82.72463535714286,20.241427857142867,0.0013845450000000148,26.172339285714287,2.816986285714286,80.98536864285714,12.547934428571423,0.0013268528571428462,27.914082142857144,10.833796571428572,65.6209652142857,48.61108528571429,0.0022080242857142607
2010-01-31,0,0.0,0.0,23.19414857142857,34.52077857142857,36.984285,88.60238428571428,0.9952041428571429,0.9996799414285713,0.15526571042857146,0,0.0,0.0,24.75625157142857,28.314583857142857,74.67645,89.50487828571428,0.9968424100000001,0.9994085985714286,1.2695385285714287,0,0.0,0.0,23.832231428571426,29.36559642857143,70.36534642857143,92.96467428571428,0.9966890028571428,0.9994314357142857,1.284477142857143,0,0.0,0.0,25.667101142857145,27.489135857142855,77.72959314285715,87.46828928571429,0.9966075957142857,0.9990811142857143,1.246418557142857,0,0.0,0.0,24.93378557142857,28.32495542857143,75.165093,89.64395571428572,0.99663264,0.9992041857142857,1.3174857214285713,0,0.0,0.0,23.832240285714285,29.36559642857143,70.36532642857142,92.96469857142857,0.9966890485714286,0.99943142,1.284477142857143,0,0.0,0.0,23.901027285714285,30.060176428571427,67.95794742857143,93.2703927142857,0.9964952828571428,0.9992828828571428,1.0712428585714286,0,0.0,0.0,23.970811857142856,28.553937571428573,73.25836028571429,92.70349785714286,0.9968441885714286,0.999528632857143,1.4089500000000001,0,0.0,0.0,24.873378142857142,29.060019285714286,73.07297242857143,90.4285807142857,0.9965001471428572,0.9991000342857143,1.2568886014285714,26.966698714285712,4.186641142857145,81.75077657142856,17.35560828571427,0.0012999435714285412,26.262374714285713,4.583125714285718,82.98092907142858,19.445137571428575,0.0013422221428571746,26.980601857142858,6.159149142857142,80.61417007142856,25.312445285714276,0.0013938000000000006,26.598918357142857,5.533356142857144,81.66501249999999,22.59937214285715,0.0013711857142856831,26.6293705,3.3911698571428595,82.40452435714286,14.478862714285725,0.001285772857142875,26.578118500000002,1.82203471428571,82.59894121428573,9.738696142857137,0.0012367592857143173,26.598913928571427,5.533365000000003,81.66501035714285,22.599327857142853,0.0013712164285714645,26.535417714285714,3.558332285714286,82.09066414285715,14.828428285714281,0.0012830942857142702,28.85746357142857,11.326630000000002,62.79333464285714,51.61809928571428,0.0022378992857142177
2010-02-07,0,0.5,0.0,22.879965571428574,33.49487714285714,40.61593728571428,90.26531085714285,0.9967751528571428,1.0010403428571428,0.05631714252857143,0,0.5,0.0,25.63007914285714,28.901245,70.4672242857143,85.16022714285714,0.9980878328571429,1.0007223657142856,0.48716428142857143,0,0.0,0.0,24.182691428571427,29.674028714285715,66.22938314285715,89.96803514285715,0.9978500828571428,1.0007231471428573,0.5452500157142858,0,0.5,0.0,26.756330428571427,28.254695571428574,73.37801571428572,81.44013,0.9977724542857143,1.0003605085714287,0.4135428585714286,0,0.0,0.0,25.77961528571429,29.067099285714285,70.26898142857144,84.08824071428572,0.9978048342857143,1.0004787428571429,0.5119042928571428,0,0.5,0.0,24.182691428571427,29.674024285714285,66.22938328571429,89.96805857142859,0.9978500628571428,1.0007231757142858,0.5452500157142858,0,0.5,0.0,24.097338,30.289385285714285,63.84946985714286,91.02716142857142,0.9975796457142857,1.00058681,0.4270800028571428,0,0.5,0.0,24.402544428571428,28.94803285714286,69.56181328571428,89.59520714285713,0.9980465414285715,1.0008213285714285,0.5961742728571429,0,0.5,0.0,25.410644428571427,29.547371714285713,68.99122714285714,87.02215357142857,0.9976314814285715,1.0003887,0.4470985728571429,27.47900807142857,4.1367272857142865,78.00669035714286,18.030926428571433,0.0013786092857142607,26.675288642857144,4.545488428571431,79.5785102142857,20.033393857142855,0.0013873935714284746,27.19336164285714,6.192047285714285,77.43831564285713,27.17769157142856,0.0015035821428571183,26.928357857142856,5.491332857142858,78.09872092857144,23.738675285714294,0.0014365564285714894,27.42335728571429,3.2874839999999956,77.17861107142858,13.819259285714281,0.0013369542857142869,27.505513,1.4983651428571463,77.40907285714286,8.062114285714273,0.0012940271428572014,26.92836007142857,5.4913372857142875,78.09870914285715,23.738652000000002,0.0014365321428572164,27.265662071428572,3.271165857142858,77.81372571428571,14.693002857142844,0.0013172664285713842,28.18742135714286,10.614911571428568,65.44062407142857,49.64937357142857,0.002132595000000015
2010-02-14,0,0.5,0.0,22.966217,32.883462,44.553492857142864,90.33070642857142,0.9952218771428571,0.9995513614285715,0.3754042902857143,0,0.5,0.0,24.93188028571429,28.451459714285715,71.41865571428572,88.518833,0.9962735157142857,0.99898076,0.9268614328571428,0,0.0,0.0,23.79747242857143,29.256884142857142,68.279155,92.02580771428572,0.9961351857142857,0.9989573428571428,0.8551614271428571,0,0.5,0.0,26.152012714285714,27.832197,74.76713428571429,84.76793014285714,0.99600977,0.9986164642857143,0.7897771385714286,0,0.0,0.0,25.22799242857143,28.565730714285714,72.12317657142857,87.47548414285714,0.9960592828571428,0.9987371428571429,0.9009700042857143,0,0.5,0.0,23.797463714285715,29.256875285714283,68.27920742857142,92.02583,0.9961351942857143,0.9989573428571428,0.8551614271428571,0,0.5,0.0,23.796569714285713,29.85049442857143,66.51184571428571,92.14424114285714,0.9959369185714285,0.9987939571428572,0.6951485885714286,0,0.5,0.0,23.935660285714285,28.518820857142856,71.68423457142858,92.11300057142857,0.9962851685714286,0.9990792199999999,0.9661157285714286,0,0.5,0.0,24.992165857142854,29.11469357142857,70.38137914285714,88.64367285714286,0.9959387142857142,0.9986069528571428,0.77921142,27.053429714285713,4.122527714285717,79.51252600000001,18.26229371428572,0.001334119285714308,26.22724057142857,4.5831605714285715,81.89861757142857,20.428765999999996,0.0013970257142856823,26.823532071428573,6.053924714285717,79.32804342857142,25.632395428571428,0.001428519285714358,26.5271695,5.459411571428568,80.15251871428572,23.746622571428574,0.0014110742857142422,26.896861571428573,3.337738285714284,79.79933035714285,15.352307571428568,0.001338930000000016,26.992104857142856,1.6801842857142866,79.76753221428572,10.000795857142847,0.0013033471428571253,26.527178285714285,5.459411714285711,80.15248135714286,23.746652714285716,0.0014110785714285257,26.691670000000002,3.5195794285714257,79.96874435714287,17.10017728571428,0.0013536221428571693,27.9248395,9.917245000000001,67.44209964285714,45.777213571428554,0.002164742142857168
2010-02-21,0,0.5,0.0,23.402474714285717,35.07663357142857,35.745583571428575,87.9366492857143,0.9962537885714285,1.0010962428571428,0.031875713714285714,0,0.5,0.0,25.778948142857143,29.006269428571432,70.72622585714285,85.92003857142858,0.9981164214285715,1.0008300742857144,0.8886828422857143,0,0.0,0.0,24.380288285714283,29.319745571428573,69.10773257142857,91.58691157142857,0.9980158314285715,1.0007934857142857,1.0655114700000001,0,0.5,0.0,26.572060857142855,28.117580142857143,74.31103285714286,85.78185571428571,0.99776811,1.0004899285714286,1.01501,0,0.0,0.0,25.858455142857142,28.707397285714286,72.57227714285715,86.40700814285715,0.9978816100000001,1.0005875285714285,1.1498228614285715,0,0.5,0.0,24.380284,29.319745571428573,69.10776885714286,91.58698842857143,0.9980158028571429,1.0007934857142857,1.0655114700000001,0,0.5,0.0,24.297686,29.857373857142857,67.715177,92.7330972857143,0.9978146271428571,1.0006521357142857,0.8791957100000001,0,0.5,0.0,24.658905,28.817456999999997,71.240584,90.46118357142858,0.9981559442857143,1.0008932228571428,1.2151571285714287,0,0.5,0.0,25.42874157142857,29.18681557142857,72.14664285714285,89.33088442857142,0.9977626442857143,1.0004876,0.9588199828571428,27.30777857142857,3.7580740000000006,80.73876364285714,17.184241571428572,0.0013624778571428853,26.738180999999997,4.158551999999997,80.85088378571429,19.22059957142858,0.0013686392857142349,27.07752992857143,5.559687857142858,80.22413714285715,25.017920285714297,0.0014187542857143076,26.850014785714286,4.9394615714285734,80.34737864285714,22.479219571428573,0.0013888414285714301,27.282926214285716,2.848942142857144,79.48964264285715,13.834731000000005,0.001352959285714217,27.344820499999997,1.5455192857142883,80.04644428571429,11.47082285714285,0.0013609092857143068,26.850016928571428,4.93945728571429,80.34732207142858,22.479179000000002,0.0013888271428570964,27.392608785714287,3.2273212857142894,78.32313221428572,15.193812714285727,0.0013568264285714338,29.239554142857145,11.674158857142857,61.84111642857144,52.19106571428572,0.002421227142857141
2010-02-28,0,0.5,0.0,23.573072,33.55537185714286,46.539630428571435,90.84976600000002,0.9955781928571429,1.0004931000000001,0.42906857142857147,0,0.5,0.0,25.674782999999998,29.122964285714286,73.2578127142857,88.43285642857143,0.9968627242857143,0.9996978357142857,0.9525500000000001,0,0.0,0.0,24.52068214285714,29.996800285714283,69.36435714285714,91.483175,0.9968746199999999,0.9997681514285714,0.9527542971428572,0,0.5,0.0,26.735678428571426,28.156821142857144,77.54914157142856,84.47556842857144,0.9968011342857144,0.9994820228571429,0.8207157,0,0.0,0.0,25.90618471428571,29.018703,74.54323214285715,87.11412271428571,0.9968220742857143,0.99955692,0.9152085457142858,0,0.5,0.0,24.520677714285714,29.996787,69.36444642857143,91.48319785714286,0.9968746128571428,0.9997681342857143,0.9527542971428572,0,0.5,0.0,24.491969428571426,30.597826285714287,67.91529171428571,92.84694628571428,0.9967461471428571,0.9996683957142858,1.0207585685714284,0,0.5,0.0,24.719743714285716,29.223074857142855,73.18445285714286,91.02775285714286,0.9969734085714286,0.9998322928571428,0.9182428628571427,0,0.5,0.0,25.589420714285716,29.65178985714286,73.11384,89.70370428571428,0.9967415128571429,0.9994970371428572,0.9546314,27.620605285714287,4.062369142857143,81.40877214285715,16.589864285714285,0.0013777621428571751,26.971409285714287,4.503331142857139,82.10610285714286,17.8433,0.001429442142857118,27.544897857142857,6.105856857142861,80.381119,24.931654571428567,0.0014611242857143214,27.258732357142858,5.476109285714287,80.42382214285715,22.11875142857143,0.001446760714285733,27.462443857142855,3.1125182857142875,80.82867742857144,12.570890571428563,0.0013674228571428082,27.446249785714286,1.4211427142857183,81.012355,6.9264268571428715,0.0013404442857142818,27.258741214285713,5.476118142857143,80.42376607142857,22.118817857142858,0.0014467657142857582,27.39887364285714,3.4481812857142877,80.84533457142857,15.17504371428572,0.001417555714285701,28.564221928571428,9.98229985714286,68.69469821428572,44.31013557142858,0.002457453571428625
2010-03-07,0,0.5,0.0,23.99416242857143,34.770839,40.581498714285715,86.21190585714285,0.9949220942857143,0.9993994428571428,0.09549428709999999,0,0.5,0.0,25.76570785714286,30.428449285714287,62.615672714285715,83.97575057142856,0.99624286,0.99938688,0.02057142865714286,0,0.0,0.0,23.964054428571426,31.84960057142857,55.53800628571428,89.70984228571429,0.9962273714285714,0.9996745728571429,0.03306142714285714,0,0.5,0.0,27.324938142857143,28.994476,68.67528628571428,77.60096785714286,0.9966301642857143,0.9994277471428571,0.024548573002857142,0,0.0,0.0,25.995487714285712,30.604313571428573,61.26903385714286,82.21879157142858,0.9964105099999999,0.9994681185714286,0.03781285727142857,0,0.5,0.0,23.964063285714285,31.84960057142857,55.537991999999996,89.7099137142857,0.996227357142857,0.9996745857142857,0.03306142714285714,0,0.5,0.0,23.864698,32.415501285714285,54.19549585714286,91.753506,0.9960978985714286,0.99961632,0.033042857142857145,0,0.5,0.0,24.388314285714284,30.708234571428573,60.64927257142857,88.46210071428571,0.9963706528571429,0.9996669471428571,0.028027142314285713,0,0.5,0.0,25.571275857142858,31.135659285714286,60.535537142857144,85.58395071428572,0.9963568871428572,0.9994504785714285,0.033234287142857144,28.353467571428574,5.564383428571428,73.05974392857144,25.048413571428576,0.0015467957142856759,27.54827442857143,6.319920285714289,74.55568664285714,27.812828142857143,0.0016481471428571037,28.140099642857145,8.550803285714284,72.97450092857143,37.55801014285714,0.0017592107142856972,27.906831928571428,7.885537285714285,72.62395285714285,34.17192171428571,0.0017236142857143255,28.299900642857143,4.608825857142861,71.74391271428573,20.949757714285724,0.0015288042857143358,28.15970707142857,1.6695378571428563,73.13812707142857,8.925681571428584,0.001398791428571411,27.9068275,7.8855461428571445,72.62392428571428,34.171836000000006,0.0017236007142857335,28.097078571428575,4.662741428571426,73.29571164285714,21.360077857142848,0.0015720100000000126,29.382500714285715,10.776676571428574,63.396702285714284,45.63040714285714,0.002238674285714226
