,casos_2803500,p_rt1_2803500,p_inc100k_2803500,temp_min_2803500,temp_max_2803500,umid_min_2803500,umid_max_2803500,pressao_min_2803500,pressao_max_2803500,precip_tot_2803500,casos_2803203,p_rt1_2803203,p_inc100k_2803203,temp_min_2803203,temp_max_2803203,umid_min_2803203,umid_max_2803203,pressao_min_2803203,pressao_max_2803203,precip_tot_2803203,casos_2802403,p_rt1_2802403,p_inc100k_2802403,temp_min_2802403,temp_max_2802403,umid_min_2802403,umid_max_2802403,pressao_min_2802403,pressao_max_2802403,precip_tot_2802403,casos_2802106,p_rt1_2802106,p_inc100k_2802106,temp_min_2802106,temp_max_2802106,umid_min_2802106,umid_max_2802106,pressao_min_2802106,pressao_max_2802106,precip_tot_2802106,casos_2807105,p_rt1_2807105,p_inc100k_2807105,temp_min_2807105,temp_max_2807105,umid_min_2807105,umid_max_2807105,pressao_min_2807105,pressao_max_2807105,precip_tot_2807105,casos_2806701,p_rt1_2806701,p_inc100k_2806701,temp_min_2806701,temp_max_2806701,umid_min_2806701,umid_max_2806701,pressao_min_2806701,pressao_max_2806701,precip_tot_2806701,casos_2806305,p_rt1_2806305,p_inc100k_2806305,temp_min_2806305,temp_max_2806305,umid_min_2806305,umid_max_2806305,pressao_min_2806305,pressao_max_2806305,precip_tot_2806305,casos_2804805,p_rt1_2804805,p_inc100k_2804805,temp_min_2804805,temp_max_2804805,umid_min_2804805,umid_max_2804805,pressao_min_2804805,pressao_max_2804805,precip_tot_2804805,casos_2800605,p_rt1_2800605,p_inc100k_2800605,temp_min_2800605,temp_max_2800605,umid_min_2800605,umid_max_2800605,pressao_min_2800605,pressao_max_2800605,precip_tot_2800605,casos_2800308,p_rt1_2800308,p_inc100k_2800308,temp_min_2800308,temp_max_2800308,umid_min_2800308,umid_max_2800308,pressao_min_2800308,pressao_max_2800308,precip_tot_2800308,temp_mean_2800308,temp_amp_2800308,umid_mean_2800308,umid_amp_2800308,pressao_mean_2800308,temp_mean_2800605,temp_amp_2800605,umid_mean_2800605,umid_amp_2800605,pressao_mean_2800605,temp_mean_2804805,temp_amp_2804805,umid_mean_2804805,umid_amp_2804805,pressao_mean_2804805,temp_mean_2806305,temp_amp_2806305,umid_mean_2806305,umid_amp_2806305,pressao_mean_2806305,temp_mean_2806701,temp_amp_2806701,umid_mean_2806701,umid_amp_2806701,pressao_mean_2806701,temp_mean_2807105,temp_amp_2807105,umid_mean_2807105,umid_amp_2807105,pressao_mean_2807105,temp_mean_2802106,temp_amp_2802106,umid_mean_2802106,umid_amp_2802106,pressao_mean_2802106,temp_mean_2802403,temp_amp_2802403,umid_mean_2802403,umid_amp_2802403,pressao_mean_2802403,temp_mean_2803203,temp_amp_2803203,umid_mean_2803203,umid_amp_2803203,pressao_mean_2803203,temp_mean_2803500,temp_amp_2803500,umid_mean_2803500,umid_amp_2803500,pressao_mean_2803500
2010-01-03,0,0.0,0.0,23.424673857142857,31.435860714285713,55.131455,92.94714442857142,0.9965255214285714,0.9997666714285715,0.4489928757142857,0,0.0,0.0,25.565495285714285,27.62814314285714,76.00505285714287,87.00519071428572,0.99683933,0.9996969871428572,0.4846342868571429,0,0.0,0.0,23.989122857142856,32.347944142857145,52.39022671428571,90.47498800000001,0.9959475099999999,0.9994184300000001,0.5974614213714285,0,0.0,0.0,24.417306285714286,30.88890742857143,58.95591871428571,91.18883442857143,0.9967246171428572,0.9997105385714286,0.5097028614285714,0,0.0,0.0,23.424673857142857,31.435860714285713,55.131455,92.94714442857142,0.9965255214285714,0.9997666714285715,0.4489928757142857,0,0.0,0.0,24.744450142857144,29.629036857142857,65.57258257142857,90.0016947142857,0.9967806057142857,0.999700147142857,0.5074157114285714,0,0.0,0.0,24.417306285714286,30.88890742857143,58.95591871428571,91.18883442857143,0.9967246171428572,0.9997105385714286,0.5097028614285714,0,0.0,0.0,24.964486285714287,28.967799714285714,68.43938557142857,88.82766142857143,0.9967543342857142,0.9996388157142857,0.53122429,0,0.0,0.0,25.941641571428573,27.201233000000002,77.82861857142858,85.18269785714286,0.99687226,0.99970335,0.4244057058571428,0,0.0,0.0,25.941641571428573,27.201233000000002,77.82861857142858,85.18269785714286,0.99687226,0.99970335,0.4244057058571428,26.57143728571429,1.2595914285714294,81.50565821428572,7.354079285714278,0.001415545000000018,26.57143728571429,1.2595914285714294,81.50565821428572,7.354079285714278,0.001415545000000018,26.966143000000002,4.003313428571428,78.6335235,20.388275857142858,0.0014422407142857252,27.65310685714286,6.471601142857143,75.07237657142856,32.23291571428572,0.0014929607142856738,27.1867435,4.884586714285714,77.78713864285714,24.429112142857136,0.0014597707142856575,27.430267285714287,8.011186857142857,74.0392997142857,37.81568942857142,0.001620575000000013,27.65310685714286,6.471601142857143,75.07237657142856,32.23291571428572,0.0014929607142856738,28.168533500000002,8.358821285714289,71.43260735714286,38.0847612857143,0.0017354600000000775,26.596819214285713,2.0626478571428564,81.5051217857143,11.000137857142846,0.0014288285714285642,27.430267285714287,8.011186857142857,74.0392997142857,37.81568942857142,0.001620575000000013
2010-01-10,0,0.0,0.0,22.748391142857145,30.92127342857143,57.050979142857145,94.91790057142858,0.9976970357142857,1.0006212757142856,0.81695573,0,0.0,0.0,25.171146857142855,27.487182714285716,74.93239000000001,86.24903342857144,0.9978501700000001,1.00042955,0.8813828557142857,0,0.0,0.0,23.270097999999997,31.46013114285714,54.348341000000005,92.11905585714285,0.9971116999999999,1.0002436357142857,0.5293214442857143,0,0.0,0.0,23.65613657142857,30.55674085714286,61.665622142857146,92.12870485714286,0.9977696728571429,1.0005468614285713,0.8280914242857144,0,0.0,0.0,22.748391142857145,30.92127342857143,57.050979142857145,94.91790057142858,0.9976970357142857,1.0006212757142856,0.81695573,0,0.0,0.0,24.128587857142858,29.278643142857142,66.79150214285714,90.37844857142856,0.9978201514285715,1.0004840942857143,1.0336457342857144,0,0.0,0.0,23.65613657142857,30.55674085714286,61.665622142857146,92.12870485714286,0.9977696728571429,1.0005468614285713,0.8280914242857144,0,0.0,0.0,24.49331642857143,28.70157742857143,68.99772714285714,89.05653500000001,0.9977558571428571,1.0003929057142857,0.7614685757142857,0,0.0,0.0,25.48698657142857,27.17928642857143,75.90964371428572,84.72953428571428,0.9978563514285714,1.0003876714285715,0.8522985757171428,0,0.0,0.0,25.48698657142857,27.17928642857143,75.90964371428572,84.72953428571428,0.9978563514285714,1.0003876714285715,0.8522985757171428,26.333136500000002,1.69229985714286,80.31958900000001,8.819890571428559,0.0012656600000000573,26.333136500000002,1.69229985714286,80.31958900000001,8.819890571428559,0.0012656600000000573,26.59744692857143,4.208261,79.02713107142858,20.058807857142867,0.0013185242857143287,27.106438714285716,6.900604285714291,76.8971635,30.46308271428572,0.0013885942857141953,26.703615499999998,5.150055285714284,78.58497535714285,23.586946428571423,0.001331971428571388,26.834832285714285,8.172882285714284,75.98443985714286,37.86692142857143,0.0014621199999999557,27.106438714285716,6.900604285714291,76.8971635,30.46308271428572,0.0013885942857141953,27.36511457142857,8.190033142857143,73.23369842857143,37.77071485714285,0.0015659678571428581,26.329164785714283,2.316035857142861,80.59071171428573,11.316643428571425,0.0012896899999999545,26.834832285714285,8.172882285714284,75.98443985714286,37.86692142857143,0.0014621199999999557
2010-01-17,0,0.0,0.0,23.55622214285714,31.28954214285714,56.09927557142857,92.8331392857143,0.9991751228571429,1.0020734428571427,0.6313014385714286,0,0.0,0.0,25.746939571428573,27.76835857142857,73.22154014285715,84.97525271428572,0.999288757142857,1.0019142428571428,0.5631385642857143,0,0.0,0.0,24.089791285714284,32.05604771428572,54.29728757142857,91.41817571428571,0.9986009928571429,1.0016914185714285,0.48810285714285717,0,0.0,0.0,24.761679571428573,31.055572428571427,58.968104857142855,89.94727328571427,0.9993761071428572,1.0020017428571428,0.5081700171428571,0,0.0,0.0,23.55622214285714,31.28954214285714,56.09927557142857,92.8331392857143,0.9991751228571429,1.0020734428571427,0.6313014385714286,0,0.0,0.0,24.990670285714288,29.781720714285715,64.79484371428572,88.19965114285715,0.9993421242857143,1.0019499571428572,0.5178285714285714,0,0.0,0.0,24.761679571428573,31.055572428571427,58.968104857142855,89.94727328571427,0.9993761071428572,1.0020017428571428,0.5081700171428571,0,0.0,0.0,25.071036142857142,28.933737714285712,68.65594014285715,86.88729085714286,0.99924004,1.0018753142857142,0.6981614314285716,0,0.0,0.0,26.072710285714287,27.35377314285714,73.94914928571428,83.66265214285714,0.9992324,1.0018961714285715,0.49989285285714286,0,0.0,0.0,26.072710285714287,27.35377314285714,73.94914928571428,83.66265214285714,0.9992324,1.0018961714285715,0.49989285285714286,26.713241714285715,1.281062857142853,78.80590071428571,9.713502857142856,0.0013318857142857188,26.713241714285715,1.281062857142853,78.80590071428571,9.713502857142856,0.0013318857142857188,27.002386928571426,3.8627015714285697,77.7716155,18.23135071428571,0.0013176371428570977,27.908625999999998,6.293892857142854,74.45768907142856,30.97916842857142,0.0013128178571428228,27.3861955,4.7910504285714275,76.49724742857143,23.40480742857143,0.0013039164285714167,27.42288214285714,7.733319999999999,74.46620742857144,36.733863714285725,0.0014491599999998939,27.908625999999998,6.293892857142854,74.45768907142856,30.97916842857142,0.0013128178571428228,28.0729195,7.966256428571434,72.85773164285715,37.12088814285714,0.0015452128571428192,26.757649071428574,2.021418999999998,79.09839642857143,11.753712571428565,0.00131274285714289,27.42288214285714,7.733319999999999,74.46620742857144,36.733863714285725,0.0014491599999998939
2010-01-24,0,0.0,0.0,23.389474,31.131085857142857,53.918949,91.70623485714285,0.9979670842857143,1.001170542857143,0.4566228415714286,0,0.0,0.0,25.589041714285713,27.756278142857145,71.63996085714287,83.8667692857143,0.9982905814285715,1.000885222857143,0.5815514471428571,0,0.0,0.0,23.366123857142856,31.202649714285716,54.016069,92.44611642857144,0.9976963271428572,1.0008404842857144,0.7889485757142857,0,0.0,0.0,24.292188142857146,30.73439242857143,58.14211671428571,89.46404228571429,0.9981144928571428,1.0010555,0.5516099857142857,0,0.0,0.0,23.389474,31.131085857142857,53.918949,91.70623485714285,0.9979670842857143,1.001170542857143,0.4566228415714286,0,0.0,0.0,24.734649714285716,29.556623285714288,63.934466571428565,87.61289714285714,0.9982099271428572,1.0009820571428572,0.5779942857142857,0,0.0,0.0,24.292188142857146,30.73439242857143,58.14211671428571,89.46404228571429,0.9981144928571428,1.0010555,0.5516099857142857,0,0.0,0.0,24.903398714285714,28.781494285714285,66.95547757142857,86.64127971428572,0.9982258257142858,1.0008972071428572,0.6500228842857142,0,0.0,0.0,26.024941428571427,27.274361857142857,73.56183142857142,82.20633142857143,0.9982976571428571,1.000834742857143,0.60125285,0,0.0,0.0,26.024941428571427,27.274361857142857,73.56183142857142,82.20633142857143,0.9982976571428571,1.000834742857143,0.60125285,26.649651642857144,1.2494204285714297,77.88408142857142,8.644500000000008,0.0012685428571428958,26.649651642857144,1.2494204285714297,77.88408142857142,8.644500000000008,0.0012685428571428958,26.8424465,3.8780955714285703,76.79837864285714,19.685802142857142,0.0013356907142857422,27.513290285714287,6.442204285714283,73.8030795,31.321925571428572,0.0014705035714286385,27.145636500000002,4.821973571428572,75.77368185714285,23.67843057142857,0.0013860649999999919,27.26027992857143,7.741611857142857,72.81259192857142,37.78728585714285,0.0016017292857142817,27.513290285714287,6.442204285714283,73.8030795,31.321925571428572,0.0014705035714286385,27.284386785714286,7.83652585714286,73.23109271428572,38.43004742857144,0.0015720785714286034,26.672659928571427,2.1672364285714316,77.75336507142859,12.226808428571431,0.0012973207142857324,27.26027992857143,7.741611857142857,72.81259192857142,37.78728585714285,0.0016017292857142817
2010-01-31,0,0.0,0.0,23.604518285714285,30.916926857142858,57.01688357142857,92.93530928571428,0.9970646714285715,1.0000241042857143,0.8564985885714285,0,0.0,0.0,25.22522857142857,27.52802828571429,76.25448428571428,88.00201657142858,0.9973144271428571,0.999836762857143,1.2376100185714287,0,0.0,0.0,23.870357000000002,31.643485,57.319331142857145,92.48496957142856,0.9964500257142858,0.9995599028571428,0.6652914142857143,0,0.0,0.0,24.29899814285714,30.549028571428572,61.373081428571425,92.01896571428571,0.9972334828571429,0.9999951242857142,0.9590471371428572,0,0.0,0.0,23.604518285714285,30.916926857142858,57.01688357142857,92.93530928571428,0.9970646714285715,1.0000241042857143,0.8564985885714285,0,0.0,0.0,24.61766714285714,29.343118,67.51093685714285,90.76325485714285,0.9972297957142857,0.9999120871428572,1.1784985571428572,0,0.0,0.0,24.29899814285714,30.549028571428572,61.373081428571425,92.01896571428571,0.9972334828571429,0.9999951242857142,0.9590471371428572,0,0.0,0.0,24.731724285714286,28.527287285714287,71.26856414285714,89.60979342857142,0.9972109642857143,0.9998122885714286,1.2377799957142857,0,0.0,0.0,25.633605714285714,27.248618,77.01447885714286,85.67771428571429,0.9973415757142857,0.9997597442857142,1.1925414142857143,0,0.0,0.0,25.633605714285714,27.248618,77.01447885714286,85.67771428571429,0.9973415757142857,0.9997597442857142,1.1925414142857143,26.441111857142857,1.6150122857142861,81.34609657142857,8.663235428571426,0.001209084285714257,26.441111857142857,1.6150122857142861,81.34609657142857,8.663235428571426,0.001209084285714257,26.629505785714287,3.7955630000000014,80.43917878571429,18.341229285714277,0.001300662142857123,27.424013357142854,6.250030428571431,76.69602357142857,30.64588428571429,0.001380820714285691,26.98039257142857,4.72545085714286,79.13709585714285,23.252318000000002,0.0013411457142857297,27.260722571428573,7.312408571428573,74.97609642857142,35.91842571428571,0.0014797164285714204,27.424013357142854,6.250030428571431,76.69602357142857,30.64588428571429,0.001380820714285691,27.756921,7.773127999999996,74.90215035714286,35.16563842857142,0.0015549385714285213,26.37662842857143,2.302799714285719,82.12825042857143,11.7475322857143,0.0012611678571429197,27.260722571428573,7.312408571428573,74.97609642857142,35.91842571428571,0.0014797164285714204
2010-02-07,0,0.5,0.0,23.895342142857142,30.456913571428572,59.974943714285715,91.885208,0.9986078628571429,1.0014533,0.6769728714285714,0,0.5,0.0,26.105564571428573,27.90408757142857,73.19375271428571,84.96830628571429,0.9986886928571429,1.0011889142857142,0.9686356928571429,0,0.5,0.0,24.33226685714286,31.370845142857142,57.80838885714286,91.35471171428571,0.9980049171428572,1.0010200428571427,0.4870785714285714,0,0.5,0.0,24.747863857142857,30.108817,64.238578,90.08989357142858,0.9988876985714287,1.0013444428571427,0.6900185671428571,0,0.5,0.0,23.895342142857142,30.456913571428572,59.974943714285715,91.885208,0.9986078628571429,1.0014533,0.6769728714285714,0,0.5,0.0,25.290950000000002,29.212502714285712,68.90668514285714,88.31778285714286,0.9987589328571429,1.0012828285714286,0.8526357142857143,0,0.5,0.0,24.747863857142857,30.108817,64.238578,90.08989357142858,0.9988876985714287,1.0013444428571427,0.6900185671428571,0,0.5,0.0,25.470393857142856,28.704149714285712,71.01046414285715,87.21174071428571,0.9986202428571429,1.0011905714285716,0.8261242928571428,0,0.5,0.0,26.441441142857144,27.82032985714286,73.16931371428572,83.97117442857143,0.9986104185714285,1.0011198000000001,0.74042287,0,0.5,0.0,26.441441142857144,27.82032985714286,73.16931371428572,83.97117442857143,0.9986104185714285,1.0011198000000001,0.74042287,27.1308855,1.378888714285715,78.57024407142858,10.80186071428571,0.0012546907142858,27.1308855,1.378888714285715,78.57024407142858,10.80186071428571,0.0012546907142858,27.087271785714286,3.2337558571428566,79.11110242857143,16.201276571428565,0.0012851642857143464,27.428340428571428,5.3609531428571415,77.16423578571428,25.85131557142857,0.001228372142857037,27.251726357142857,3.92155271428571,78.612234,19.411097714285717,0.0012619478571428422,27.17612785714286,6.56157142857143,75.93007585714287,31.91026428571429,0.0014227185714286161,27.428340428571428,5.3609531428571415,77.16423578571428,25.85131557142857,0.001228372142857037,27.851556000000002,7.038578285714284,74.58155028571429,33.546322857142854,0.0015075628571427635,27.00482607142857,1.7985229999999959,79.0810295,11.774553571428584,0.0012501107142856571,27.17612785714286,6.56157142857143,75.93007585714287,31.91026428571429,0.0014227185714286161
2010-02-14,0,0.5,0.0,23.62432,30.001822428571426,61.20360314285714,92.64325928571428,0.9968498471428572,0.99974218,0.7830956914285715,0,0.5,0.0,25.92331371428571,27.593963714285714,74.806005,83.94450300000001,0.9968430685714286,0.9994841,0.7792657242857144,0,0.5,0.0,24.039502714285714,30.69743557142857,59.51260357142858,90.67522214285714,0.99621488,0.9992651871428571,0.61350715,0,0.5,0.0,24.54711057142857,29.963923857142856,63.684410285714286,90.498488,0.9969643957142857,0.9996369985714286,0.6508914199999999,0,0.5,0.0,23.62432,30.001822428571426,61.20360314285714,92.64325928571428,0.9968498471428572,0.99974218,0.7830956914285715,0,0.5,0.0,25.084869285714287,28.89363757142857,69.14128914285713,87.79051857142858,0.9968658642857143,0.9995649671428571,0.7269800142857142,0,0.5,0.0,24.54711057142857,29.963923857142856,63.684410285714286,90.498488,0.9969643957142857,0.9996369985714286,0.6508914199999999,0,0.5,0.0,25.207877,28.229531285714284,71.38433057142858,86.3047837142857,0.9967965385714285,0.9994808,0.8766042771428572,0,0.5,0.0,26.17143042857143,27.524906714285716,74.68268771428572,83.38150928571429,0.9968217171428572,0.99942885,0.8140314142857142,0,0.5,0.0,26.17143042857143,27.524906714285716,74.68268771428572,83.38150928571429,0.9968217171428572,0.99942885,0.8140314142857142,26.848168571428573,1.3534762857142866,79.0320985,8.698821571428567,0.0013035664285714343,26.848168571428573,1.3534762857142866,79.0320985,8.698821571428567,0.0013035664285714343,26.718704142857142,3.021654285714284,78.84455714285714,14.920453142857127,0.0013421307142857386,27.25551721428571,5.416813285714287,77.09144914285714,26.81407771428571,0.0013363014285714403,26.98925342857143,3.808768285714283,78.46590385714285,18.649229428571445,0.001349551428571405,26.813071214285713,6.377502428571425,76.92343121428571,31.43965614285714,0.001446166428571427,27.25551721428571,5.416813285714287,77.09144914285714,26.81407771428571,0.0013363014285714403,27.368469142857144,6.657932857142857,75.09391285714285,31.16261857142856,0.001525153571428517,26.758638714285713,1.670650000000002,79.37525400000001,9.138498000000013,0.0013205157142857082,26.813071214285713,6.377502428571425,76.92343121428571,31.43965614285714,0.001446166428571427
2010-02-21,0,0.5,0.0,23.966888285714283,31.337995,56.538824857142856,92.66302771428572,0.9982909242857143,1.0014195714285714,0.5223099999999999,0,0.5,0.0,26.195661285714287,28.46486557142857,71.86133199999999,85.57972342857144,0.9985103914285715,1.0011607999999999,0.658132855,0,0.5,0.0,24.480438142857142,31.908791714285712,56.453942999999995,91.35286285714287,0.9977953342857143,1.0011009857142856,0.5410671371428571,0,0.5,0.0,24.860652285714284,31.185014857142857,59.47472642857143,90.87721285714285,0.9985063971428572,1.0012871428571428,0.5426014342857143,0,0.5,0.0,23.966888285714283,31.337995,56.538824857142856,92.66302771428572,0.9982909242857143,1.0014195714285714,0.5223099999999999,0,0.5,0.0,25.30264285714286,30.088169571428573,64.13093371428572,89.28427742857141,0.9985120228571428,1.0012347571428573,0.59962714,0,0.5,0.0,24.860652285714284,31.185014857142857,59.47472642857143,90.87721285714285,0.9985063971428572,1.0012871428571428,0.5426014342857143,0,0.5,0.0,25.532004285714287,29.328024714285714,68.31579842857143,87.8141772857143,0.99845918,1.0011913142857143,0.64874285,0,0.5,0.0,26.665082714285713,27.958735714285716,73.53506128571429,83.05182142857143,0.9984807357142857,1.0011136714285715,0.5943628691428572,1,0.9632679,0.15039675,26.665082714285713,27.958735714285716,73.53506128571429,83.05182142857143,0.9984807357142857,1.0011136714285715,0.5943628691428572,27.311909214285713,1.2936530000000026,78.29344135714285,9.516760142857137,0.0013164678571429,27.311909214285713,1.2936530000000026,78.29344135714285,9.516760142857137,0.0013164678571429,27.4300145,3.7960204285714276,78.06498785714285,19.498378857142868,0.0013660671428571414,28.02283357142857,6.324362571428573,75.17596964285714,31.40248642857142,0.0013903728571428298,27.69540621428572,4.785526714285712,76.70760557142856,25.153343714285697,0.0013613671428572283,27.65244164285714,7.371106714285716,74.60092628571428,36.12420285714286,0.0015643235714285497,28.02283357142857,6.324362571428573,75.17596964285714,31.40248642857142,0.0013903728571428298,28.194614928571426,7.42835357142857,73.90340292857144,34.89891985714287,0.001652825714285655,27.330263428571428,2.2692042857142845,78.72052771428571,13.71839142857145,0.0013252042857141988,27.65244164285714,7.371106714285716,74.60092628571428,36.12420285714286,0.0015643235714285497
2010-02-28,0,0.5,0.0,23.947030285714284,30.626844000000002,64.21146071428572,93.62143857142857,0.9970035157142857,1.0003854214285715,1.61898,0,0.5,0.0,26.157348714285714,27.985495571428572,76.82599914285716,86.02318228571428,0.9970411642857143,1.0001281814285714,1.607265722857143,0,0.5,0.0,24.686445,32.03134585714286,60.80763685714286,92.00875628571428,0.9966070871428572,0.9999489571428571,1.4463128642857142,0,0.5,0.0,24.82082257142857,30.765455,64.27487514285714,91.27343428571429,0.9970330242857143,1.0002301,0.8175171144285713,0,0.5,0.0,23.947030285714284,30.626844000000002,64.21146071428572,93.62143857142857,0.9970035157142857,1.0003854214285715,1.61898,0,0.5,0.0,25.231502000000003,29.444959285714283,71.37184571428571,89.51575628571428,0.9969986557142858,1.0001890142857142,1.3817670857142856,0,0.5,0.0,24.82082257142857,30.765455,64.27487514285714,91.27343428571429,0.9970330242857143,1.0002301,0.8175171144285713,0,0.5,0.0,25.489379857142858,28.82979028571429,74.02900028571428,88.539388,0.9969776642857143,1.000122567142857,1.6070257614285715,0,0.5,0.0,26.534249428571428,27.95369157142857,76.32734142857143,84.35269657142858,0.9970764071428572,1.0000837042857142,1.4183385714285712,0,0.0,0.0,26.534249428571428,27.95369157142857,76.32734142857143,84.35269657142858,0.9970764071428572,1.0000837042857142,1.4183385714285712,27.2439705,1.419442142857143,80.34001900000001,8.025355142857151,0.0015036485714285397,27.2439705,1.419442142857143,80.34001900000001,8.025355142857151,0.0015036485714285397,27.159585071428573,3.340410428571431,81.28419414285713,14.510387714285727,0.0015724514285713753,27.793138785714284,5.944632428571428,77.77415471428571,26.998559142857147,0.0015985378571428677,27.33823064285714,4.213457285714281,80.443801,18.143910571428563,0.0015951792857141767,27.28693714285714,6.679813714285718,78.91644964285715,29.40997785714285,0.00169095285714288,27.793138785714284,5.944632428571428,77.77415471428571,26.998559142857147,0.0015985378571428677,28.35889542857143,7.344900857142861,76.40819657142858,31.201119428571424,0.0016709349999999845,27.071422142857145,1.8281468571428583,81.42459071428573,9.197183142857128,0.0015435085714285424,27.28693714285714,6.679813714285718,78.91644964285715,29.40997785714285,0.00169095285714288
2010-03-07,0,0.5,0.0,23.864044,32.26637457142857,57.34083114285714,94.50894428571428,0.9956517742857143,0.9992377342857143,0.5662842828571428,0,0.5,0.0,26.810211000000002,29.472665,70.38709785714285,84.71122328571428,0.9959033628571429,0.9989029928571428,0.24227000571428572,0,0.5,0.0,24.27262214285714,34.109881,49.30235471428572,88.77116271428572,0.9948604371428571,0.9990340228571428,0.05950428571428572,0,0.5,0.0,25.01466585714286,31.67819642857143,61.144566,92.02042785714286,0.9958250014285713,0.9990015857142858,0.6339528857142857,0,0.5,0.0,23.864044,32.26637457142857,57.34083114285714,94.50894428571428,0.9956517742857143,0.9992377342857143,0.5662842828571428,0,0.5,0.0,25.521924714285714,30.898297857142857,64.472757,89.7455707142857,0.9958653871428572,0.9989706371428572,0.4103114343142857,0,0.5,0.0,25.01466585714286,31.67819642857143,61.144566,92.02042785714286,0.9958250014285713,0.9990015857142858,0.6339528857142857,0,0.5,0.0,25.857504857142857,30.66349585714286,64.6669397142857,87.38213428571429,0.9957065957142858,0.9989489885714286,0.2918657245714286,0,0.5,0.0,27.490182,28.723375714285712,73.67750571428572,81.88479271428571,0.9959585442857143,0.9989000800000001,0.165115722,0,0.0,0.0,27.490182,28.723375714285712,73.67750571428572,81.88479271428571,0.9959585442857143,0.9989000800000001,0.165115722,28.106778857142857,1.2331937142857115,77.7811492142857,8.207286999999994,0.0014707678571428962,28.106778857142857,1.2331937142857115,77.7811492142857,8.207286999999994,0.0014707678571428962,28.26050035714286,4.805991000000002,76.024537,22.715194571428583,0.001621196428571392,28.346431142857142,6.66353057142857,76.58249692857143,30.875861857142866,0.0015882921428572172,28.210111285714284,5.376373142857144,77.10916385714285,25.272813714285704,0.0015526249999999742,28.065209285714285,8.402330571428571,75.92488771428572,37.16811314285714,0.0017929799999999996,28.346431142857142,6.66353057142857,76.58249692857143,30.875861857142866,0.0015882921428572172,29.191251571428573,9.83725885714286,69.03675871428572,39.468808,0.0020867928571428607,28.141438,2.6624539999999968,77.54916057142856,14.324125428571435,0.00149981499999996,28.065209285714285,8.402330571428571,75.92488771428572,37.16811314285714,0.0017929799999999996
