,casos_3305554,p_rt1_3305554,Rt_3305554,p_inc100k_3305554,temp_min_3305554,temp_max_3305554,umid_min_3305554,umid_max_3305554,pressao_min_3305554,pressao_max_3305554,precip_tot_3305554,casos_3302858,p_rt1_3302858,Rt_3302858,p_inc100k_3302858,temp_min_3302858,temp_max_3302858,umid_min_3302858,umid_max_3302858,pressao_min_3302858,pressao_max_3302858,precip_tot_3302858,casos_3304144,p_rt1_3304144,Rt_3304144,p_inc100k_3304144,temp_min_3304144,temp_max_3304144,umid_min_3304144,umid_max_3304144,pressao_min_3304144,pressao_max_3304144,precip_tot_3304144,casos_3303203,p_rt1_3303203,Rt_3303203,p_inc100k_3303203,temp_min_3303203,temp_max_3303203,umid_min_3303203,umid_max_3303203,pressao_min_3303203,pressao_max_3303203,precip_tot_3303203,casos_3304557,p_rt1_3304557,Rt_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,umid_max_3304557,pressao_min_3304557,pressao_max_3304557,precip_tot_3304557,casos_3304151,p_rt1_3304151,Rt_3304151,p_inc100k_3304151,temp_min_3304151,temp_max_3304151,umid_min_3304151,umid_max_3304151,pressao_min_3304151,pressao_max_3304151,precip_tot_3304151,temp_mean_3304151,temp_amp_3304151,umid_mean_3304151,umid_amp_3304151,pressao_mean_3304151,temp_mean_3304557,temp_amp_3304557,umid_mean_3304557,umid_amp_3304557,pressao_mean_3304557,temp_mean_3303203,temp_amp_3303203,umid_mean_3303203,umid_amp_3303203,pressao_mean_3303203,temp_mean_3304144,temp_amp_3304144,umid_mean_3304144,umid_amp_3304144,pressao_mean_3304144,temp_mean_3302858,temp_amp_3302858,umid_mean_3302858,umid_amp_3302858,pressao_mean_3302858,temp_mean_3305554,temp_amp_3305554,umid_mean_3305554,umid_amp_3305554,pressao_mean_3305554
2010-01-03,0,0.0,0.0,0.0,24.190516714285714,28.85426542857143,71.04760428571429,92.54682928571428,0.9936646942857142,0.9965115571428571,17.590459714142856,1,0.0,0.0,0.5663508,24.576307000000003,29.725882285714285,69.10419728571428,93.17310271428572,0.9933567614285714,0.9962023657142858,13.398538142857143,0,0.0,0.0,0.0,24.547877428571432,30.194575714285715,67.29238771428571,93.8955617142857,0.9932567028571428,0.9960504085714286,9.342517144285713,0,0.0,0.0,0.0,24.576307000000003,29.725882285714285,69.10419728571428,93.17310271428572,0.9933567614285714,0.9962023657142858,13.398538142857143,30,0.0,0.0,0.44458836,24.919603571428574,30.475485714285714,66.63178571428571,93.16250142857143,0.9931752871428571,0.9959432071428571,10.421332715714286,1,0.0,0.0,3.9799411,24.896981428571426,31.498866714285718,61.64492,92.21175357142856,0.9938090228571428,0.9964359800000001,1.4843985705714287,28.197924071428574,6.6018852857142925,76.92833678571428,30.56683357142856,0.0013134785714286612,27.697544642857146,5.55588214285714,79.89714357142857,26.53071571428572,0.0013839600000000174,27.151094642857146,5.149575285714281,81.13865,24.06890542857144,0.0014228021428571713,27.371226571428572,5.646698285714283,80.59397471428571,26.603173999999996,0.0013968528571428607,27.151094642857146,5.149575285714281,81.13865,24.06890542857144,0.0014228021428571713,26.522391071428572,4.663748714285717,81.79721678571428,21.499224999999996,0.0014234314285714311
2010-01-10,0,0.0,0.0,0.0,25.049612999999997,31.465994714285717,63.475,90.14941785714286,0.9959330342857143,0.99942395,1.5875128719999998,2,0.0,0.0,1.1327016,25.422472142857142,32.09006185714286,62.984778142857145,90.30799999999999,0.9956162585714285,0.9990996928571428,1.3924928585714285,0,0.0,0.0,0.0,25.33864042857143,32.32766728571429,63.03040928571429,91.04064857142858,0.9955770314285715,0.9989700328571429,1.8546971428571428,0,0.0,0.0,0.0,25.422472142857142,32.09006185714286,62.984778142857145,90.30799999999999,0.9956162585714285,0.9990996928571428,1.3924928585714285,44,0.0,0.0,0.65206295,25.529043857142856,32.12524428571429,64.58410042857143,90.72441214285713,0.99563252,0.9988827928571429,1.4153114743571429,2,0.0,0.0,7.9598823,24.940551714285714,32.32941557142857,59.99337328571429,92.08425342857143,0.9964774742857143,0.9995567000000001,0.3354628591428571,28.634983642857144,7.388863857142855,76.03881335714286,32.09088014285714,0.0015396128571428802,28.82714407142857,6.596200428571432,77.65425628571428,26.1403117142857,0.0016251364285714276,28.756267,6.667589714285715,76.64638907142857,27.323221857142848,0.0017417171428571465,28.83315385714286,6.989026857142861,77.03552892857144,28.010239285714285,0.0016965007142857313,28.756267,6.667589714285715,76.64638907142857,27.323221857142848,0.0017417171428571465,28.257803857142857,6.41638171428572,76.81220892857144,26.674417857142863,0.001745457857142807
2010-01-17,0,0.0,0.0,0.0,25.004359571428573,30.841378285714285,62.336085857142855,86.22018371428571,0.9983969457142857,1.0013899085714286,1.5390371857142857,0,0.0,0.0,0.0,25.37981285714286,31.698752285714285,60.73888557142857,87.55645857142858,0.9980174057142858,1.0010048471428572,1.4343228642857144,0,0.0,0.0,0.0,25.110682857142855,32.102491,60.35585,90.26085342857142,0.9979109185714287,1.0007931128571428,1.8104285854285713,0,0.0,0.0,0.0,25.37981285714286,31.698752285714285,60.73888557142857,87.55645857142858,0.9980174057142858,1.0010048471428572,1.4343228642857144,46,0.0,0.0,0.68170214,25.35959757142857,31.999537857142855,61.70790785714286,89.76834571428572,0.9979283271428571,1.0006631528571428,1.9954128428571427,1,0.0,0.0,3.9799411,24.49363042857143,32.16920257142857,56.67636242857143,88.93997557142858,0.9983931242857143,1.0016378071428573,0.1306300000142857,28.3314165,7.675572142857142,72.808169,32.263613142857146,0.0016223414285715387,28.67956771428571,6.639940285714285,75.73812678571429,28.06043785714286,0.001367412857142869,28.539282571428572,6.318939428571426,74.14767207142857,26.81757300000001,0.0014937207142857178,28.606586928571428,6.9918081428571455,75.3083517142857,29.905003428571426,0.0014410971428570618,28.539282571428572,6.318939428571426,74.14767207142857,26.81757300000001,0.0014937207142857178,27.92286892857143,5.837018714285712,74.27813478571429,23.884097857142855,0.00149648142857145
2010-01-24,0,0.0,0.0,0.0,24.819684571428574,30.709337428571427,62.73301371428571,87.64041842857144,0.99725145,1.0005502,2.56385715,0,0.0,0.0,0.0,25.125736714285715,31.560263285714285,60.90733085714286,87.96223342857142,0.9968759914285714,1.0002092685714286,2.0581843,0,0.0,0.0,0.0,24.96915542857143,32.07116257142857,59.6347,89.57349428571429,0.9968267414285714,1.000059662857143,2.4268871788571427,1,0.0,0.0,0.6146546,25.125736714285715,31.560263285714285,60.90733085714286,87.96223342857142,0.9968759914285714,1.0002092685714286,2.0581843,47,0.0,0.0,0.69652176,25.29788657142857,32.13444742857143,60.643620428571424,89.36143285714286,0.9968750157142857,1.00000154,2.6920527857142855,5,0.0,0.0,19.899706,24.853267,33.088356857142855,52.82460714285714,87.59647857142856,0.9973655014285715,1.000736077142857,0.08129285714285715,28.97081192857143,8.235089857142857,70.21054285714285,34.77187142857142,0.001685287857142781,28.716167,6.836560857142857,75.00252664285713,28.717812428571435,0.0015632621428571247,28.343,6.43452657142857,74.43478214285715,27.054902571428563,0.0016666385714285692,28.520159,7.102007142857143,74.60409714285714,29.938794285714287,0.0016164607142857834,28.343,6.43452657142857,74.43478214285715,27.054902571428563,0.0016666385714285692,27.764511,5.889652857142853,75.18671607142858,24.907404714285725,0.001649374999999953
2010-01-31,0,0.0,0.0,0.0,24.056814857142857,30.42984457142857,61.94230914285714,88.30948142857143,0.9975343642857143,1.0006586842857144,2.635247105714286,0,0.0,0.0,0.0,24.321585428571428,31.186035285714286,61.491648,89.44889942857142,0.9972873342857144,1.000376062857143,1.5757714285714286,0,0.0,0.0,0.0,24.302961,31.652016714285715,61.105594714285715,91.259515,0.9972601799999999,1.0002755485714285,0.8817528285714286,2,0.0,0.0,1.2293092,24.321585428571428,31.186035285714286,61.491648,89.44889942857142,0.9972873342857144,1.000376062857143,1.5757714285714286,68,0.0,0.0,1.0077336,24.75245442857143,31.62312514285714,61.756186285714286,90.07881214285715,0.9973068042857143,1.0002111357142858,0.8379914167142858,1,0.0,0.0,3.9799411,24.437604571428572,32.826494000000004,49.2253,87.72169142857142,0.9984199342857144,1.0011816714285715,0.030551427757142858,28.632049285714288,8.388889428571431,68.4734957142857,38.49639142857142,0.0013808685714285507,28.187789785714287,6.870670714285712,75.91749921428571,28.32262585714286,0.001452165714285747,27.753810357142857,6.8644498571428585,75.47027371428571,27.957251428571425,0.0015443642857143058,27.97748885714286,7.349055714285715,76.18255485714286,30.15392028571428,0.0015076842857142947,27.753810357142857,6.8644498571428585,75.47027371428571,27.957251428571425,0.0015443642857143058,27.243329714285714,6.373029714285714,75.12589528571428,26.36717228571429,0.0015621600000000346
2010-02-07,2,0.9779825,18.521618,2.4069705,25.856942428571426,33.52040785714286,49.76081228571429,78.14141,0.99706424,1.0005756857142856,0.014490000714285713,0,0.0,0.0,0.0,25.757324428571426,34.079245285714286,49.56801671428571,80.71576514285714,0.9967329142857143,1.0003986285714286,0.008504285714285714,2,0.9779825,18.521618,1.3215714,25.215816142857143,34.585396714285714,47.61784942857143,85.93445057142857,0.9967513242857143,1.0003549142857142,0.025822857085714284,0,0.0,0.0,0.0,25.757324428571426,34.079245285714286,49.56801671428571,80.71576514285714,0.9967329142857143,1.0003986285714286,0.008504285714285714,56,0.65525025,1.0796845,0.8298983,25.545942,34.50603328571429,48.54512128571429,86.92538214285715,0.9969590171428572,1.0003326,0.10443857142857142,0,0.0,0.0,0.0,25.239101,34.29349614285714,44.64923642857143,87.3312882857143,0.9985244857142856,1.0018971571428572,0.05141714271428571,29.76629857142857,9.054395142857135,65.99026235714285,42.682051857142866,0.0016863357142857804,30.025987642857146,8.960091285714288,67.73525171428571,38.38026085714286,0.0016867914285713659,29.918284857142858,8.32192085714286,65.14189092857143,31.147748428571425,0.001832857142857136,29.90060642857143,9.369580571428571,66.77615,38.31660114285714,0.0018017949999999394,29.918284857142858,8.32192085714286,65.14189092857143,31.147748428571425,0.001832857142857136,29.688675142857143,7.663465428571431,63.951111142857144,28.380597714285706,0.0017557228571427608
2010-02-14,1,0.6887573,1.8589696,1.2034853,25.407030142857142,32.74973428571429,51.93999385714285,83.54449642857142,0.9966655057142857,0.9998814328571429,1.0454271571428573,0,0.0,0.0,0.0,25.293374142857143,33.494555,50.292592285714285,84.90310785714284,0.99628204,0.9996174485714285,0.3087714328571428,3,0.9304139,4.6445785,1.982357,24.944998714285713,34.19848614285714,46.96125114285714,87.04417071428573,0.9963668057142857,0.9994939042857143,0.21745429442857142,2,0.7103115,1.7424073,1.2293092,25.293374142857143,33.494555,50.292592285714285,84.90310785714284,0.99628204,0.9996174485714285,0.3087714328571428,66,0.7559909,1.1321325,0.9780944,25.292157857142858,34.06743914285714,47.19366371428571,86.46010942857143,0.9966349085714287,0.9994458485714286,0.15592856714285716,1,0.30233598,0.5794497,3.9799411,24.72028028571429,33.461521714285716,49.72701528571429,89.85746714285713,0.9976465514285715,1.00060009,0.13061142757142857,29.090901000000002,8.741241428571428,69.79224121428571,40.130451857142845,0.0014767692857142745,29.679798499999997,8.775281285714282,66.82688657142857,39.266445714285716,0.0014054699999999642,29.39396457142857,8.201180857142855,67.59785007142857,34.61051557142856,0.0016677042857142776,29.571742428571426,9.253487428571429,67.00271092857143,40.08291957142859,0.001563549285714283,29.39396457142857,8.201180857142855,67.59785007142857,34.61051557142856,0.0016677042857142776,29.078382214285718,7.342704142857148,67.74224514285714,31.60450257142857,0.0016079635714286167
2010-02-21,4,0.9104489,3.185172,4.813941,24.720554714285715,30.624668714285715,60.38998471428572,85.30843342857143,0.9987018728571428,1.00204042,1.2999100185714287,1,0.9630882,18.429745,0.5663508,24.752476285714287,31.46573785714286,58.76245357142857,86.99954,0.9983421071428572,1.0017811485714285,0.9269228570000001,2,0.58596957,1.2256564,1.3215714,24.429888142857145,32.12945571428572,56.012437999999996,89.21967642857143,0.9982359442857144,1.0016525942857142,0.9734128628571428,1,0.4743866,0.9294848,0.6146546,24.752476285714287,31.46573785714286,58.76245357142857,86.99954,0.9983421071428572,1.0017811485714285,0.9269228570000001,74,0.85931486,1.2031044,1.0966513,24.73066928571429,32.10416528571428,56.70464257142857,89.01614142857143,0.9982447657142857,1.0015905185714284,0.9369714285714287,1,0.5693595,1.2306355,3.9799411,24.702152714285717,32.576211,55.252324,89.21713628571429,0.9989038671428572,1.0023319042857144,0.22725570714285714,28.63918185714286,7.874058285714284,72.23473014285715,33.96481228571429,0.0017140185714286105,28.417417285714286,7.373495999999992,72.860392,32.31149885714286,0.0016728764285713904,28.109107071428575,6.713261571428571,72.88099678571429,28.237086428571423,0.0017195207142856606,28.27967192857143,7.699567571428574,72.61605721428572,33.207238428571436,0.0017083249999998995,28.109107071428575,6.713261571428571,72.88099678571429,28.237086428571423,0.0017195207142856606,27.672611714285715,5.904114,72.84920907142858,24.918448714285717,0.0016692735714285423
2010-02-28,8,0.9727761,3.5046303,9.627882,23.908429857142856,28.586743857142856,66.24792485714286,86.34097914285714,0.9978963371428572,1.0010650714285714,4.6910871400000005,1,0.8145275,3.3787816,0.5663508,24.265407,29.61200357142857,63.11641685714285,85.84780642857143,0.9975922014285714,1.0006491714285715,3.800751432857143,5,0.8434529,2.053671,3.3039284,24.018206,30.432264,59.411773571428576,87.61446857142857,0.9975053642857142,1.0005076542857143,3.1490398571428573,0,0.0,0.0,0.0,24.265407,29.61200357142857,63.11641685714285,85.84780642857143,0.9975922014285714,1.0006491714285715,3.800751432857143,95,0.98707044,1.4221252,1.4078631,24.23444042857143,30.52862114285714,59.66036557142858,87.70174428571428,0.9974881157142858,1.000418617142857,2.841935742857143,1,0.58593357,1.2966956,3.9799411,23.961238428571427,31.274566571428572,56.41568042857143,87.88618742857143,0.9970519385714286,1.0005421857142858,4.272165442857142,27.6179025,7.313328142857145,72.15093392857143,31.470507000000005,0.0017451235714285862,27.381530785714283,6.294180714285712,73.68105492857143,28.041378714285706,0.0014652507142856597,26.938705285714285,5.34659657142857,74.48211164285715,22.73138957142858,0.0015284850000000239,27.225234999999998,6.414058000000001,73.51312107142857,28.202695,0.001501145000000037,26.938705285714285,5.34659657142857,74.48211164285715,22.73138957142858,0.0015284850000000239,26.247586857142856,4.678314,76.294452,20.093054285714274,0.0015843671428570905
2010-03-07,2,0.18854211,0.50131977,2.4069705,21.547450571428573,25.075984428571427,77.53910971428571,90.79151442857143,0.9984429714285714,1.0018112857142858,6.013342842857143,2,0.8178776,2.6706016,1.1327016,21.900700142857144,25.768650428571426,76.42107228571429,91.22730571428572,0.9981848871428571,1.0015595285714285,5.166017185714286,4,0.64700234,1.3082173,2.6431427,21.897134142857144,26.203386571428574,75.993793,92.4548922857143,0.9981054214285715,1.001444497142857,4.957907285714286,1,0.5191156,1.0572252,0.6146546,21.900700142857144,25.768650428571426,76.42107228571429,91.22730571428572,0.9981848871428571,1.0015595285714285,5.166017185714286,74,0.44119805,0.9761816,1.0966513,22.19209085714286,26.323215857142856,76.42018728571429,91.72417642857144,0.9980862585714286,1.0013740242857143,4.828511408571429,0,0.0,0.0,0.0,22.535635857142857,26.437761714285717,78.48407514285714,92.18279299999999,0.9981223657142857,1.0010980857142857,5.6040786,24.48669878571429,3.9021258571428596,85.33343407142857,13.698717857142853,0.0014878600000000075,24.257653357142857,4.131124999999997,84.07218185714287,15.303989142857148,0.001643882857142842,23.834675285714283,3.867950285714283,83.824189,14.806233428571431,0.0016873207142856783,24.05026035714286,4.30625242857143,84.22434264285715,16.461099285714297,0.0016695378571428,23.834675285714283,3.867950285714283,83.824189,14.806233428571431,0.0016873207142856783,23.3117175,3.528533857142854,84.16531207142857,13.252404714285717,0.00168415714285719
