,casos_2111300,p_rt1_2111300,p_inc100k_2111300,temp_min_2111300,temp_max_2111300,umid_min_2111300,umid_max_2111300,pressao_min_2111300,pressao_max_2111300,precip_tot_2111300,casos_2111201,p_rt1_2111201,p_inc100k_2111201,temp_min_2111201,temp_max_2111201,umid_min_2111201,umid_max_2111201,pressao_min_2111201,pressao_max_2111201,precip_tot_2111201,casos_2107506,p_rt1_2107506,p_inc100k_2107506,temp_min_2107506,temp_max_2107506,umid_min_2107506,umid_max_2107506,pressao_min_2107506,pressao_max_2107506,precip_tot_2107506,casos_2107704,p_rt1_2107704,p_inc100k_2107704,temp_min_2107704,temp_max_2107704,umid_min_2107704,umid_max_2107704,pressao_min_2107704,pressao_max_2107704,precip_tot_2107704,casos_2101202,p_rt1_2101202,p_inc100k_2101202,temp_min_2101202,temp_max_2101202,umid_min_2101202,umid_max_2101202,pressao_min_2101202,pressao_max_2101202,precip_tot_2101202,casos_2100956,p_rt1_2100956,p_inc100k_2100956,temp_min_2100956,temp_max_2100956,umid_min_2100956,umid_max_2100956,pressao_min_2100956,pressao_max_2100956,precip_tot_2100956,casos_2103000,p_rt1_2103000,p_inc100k_2103000,temp_min_2103000,temp_max_2103000,umid_min_2103000,umid_max_2103000,pressao_min_2103000,pressao_max_2103000,precip_tot_2103000,temp_mean_2103000,temp_amp_2103000,umid_mean_2103000,umid_amp_2103000,pressao_mean_2103000,temp_mean_2100956,temp_amp_2100956,umid_mean_2100956,umid_amp_2100956,pressao_mean_2100956,temp_mean_2101202,temp_amp_2101202,umid_mean_2101202,umid_amp_2101202,pressao_mean_2101202,temp_mean_2107704,temp_amp_2107704,umid_mean_2107704,umid_amp_2107704,pressao_mean_2107704,temp_mean_2107506,temp_amp_2107506,umid_mean_2107506,umid_amp_2107506,pressao_mean_2107506,temp_mean_2111201,temp_amp_2111201,umid_mean_2111201,umid_amp_2111201,pressao_mean_2111201,temp_mean_2111300,temp_amp_2111300,umid_mean_2111300,umid_amp_2111300,pressao_mean_2111300
2010-01-03,1,0.0,0.090173356,25.238830285714283,28.23284042857143,74.96143642857143,90.623953,0.9956056085714285,0.9986294214285714,2.0675443285714286,1,0.0,0.5585718,25.09735985714286,28.470541714285712,74.38462557142857,91.16432742857144,0.9956564714285714,0.9986191371428571,2.365547148571429,0,0.0,0.0,25.09735985714286,28.470541714285712,74.38462557142857,91.16432742857144,0.9956564714285714,0.9986191371428571,2.365547148571429,0,0.0,0.0,22.16186528571429,27.708670428571427,75.70962714285714,98.51654557142857,0.9961167842857143,0.9999893942857143,3.4532057714285713,0,0.0,0.0,23.571027571428573,29.974422142857144,71.40276342857143,98.17513271428571,0.9951884185714286,0.9989209871428572,3.7196628714285715,0,0.0,0.0,22.363922142857145,28.69005914285714,75.07848128571428,99.29118942857143,0.9958766628571428,0.99948096,5.402559942857144,0,0.0,0.0,23.48217742857143,30.054827142857143,65.79944842857142,96.38418585714285,0.9954313357142858,0.9991704614285715,2.5288214285714288,26.768502285714284,6.572649714285713,81.09181714285714,30.58473742857143,0.001869562857142848,25.526990642857143,6.326136999999996,87.18483535714284,24.212708142857153,0.0018021485714285745,26.772724857142858,6.403394571428571,84.78894807142856,26.772369285714277,0.0018662842857142814,24.935267857142858,5.5468051428571385,87.11308635714286,22.80691842857142,0.001936305000000027,26.783950785714286,3.3731818571428533,82.7744765,16.779701857142868,0.0014813328571428586,26.783950785714286,3.3731818571428533,82.7744765,16.779701857142868,0.0014813328571428586,26.735835357142854,2.994010142857146,82.79269471428572,15.662516571428569,0.0015119064285714079
2010-01-10,2,0.0,0.18034671,25.648075714285714,29.61890942857143,67.957086,88.045838,0.9954916857142857,0.9981138242857143,0.5361685698571429,2,0.0,1.1171436,25.561235857142858,30.025416714285715,66.07200442857143,88.42510114285714,0.9955127171428572,0.9980883271428571,0.6161257274285715,0,0.0,0.0,25.561235857142858,30.025416714285715,66.07200442857143,88.42510114285714,0.9955127171428572,0.9980883271428571,0.6161257274285715,0,0.0,0.0,22.830762857142854,29.591662000000003,67.16505457142857,97.51416428571429,0.996139687142857,0.9994138014285714,1.7707656857142857,0,0.0,0.0,23.870435714285716,31.896902714285712,59.57774885714286,96.495555,0.9950157071428573,0.9985365228571429,1.2596428885714286,0,0.0,0.0,22.788347571428574,30.24315542857143,67.29595885714285,97.74306657142857,0.9956857542857144,0.9990765614285715,2.2889213728571427,1,0.0,0.6041384,23.912541,31.870932714285715,58.14234714285714,95.3190842857143,0.9952242699999999,0.9986813342857143,1.0854571857142858,27.89173685714286,7.958391714285714,76.73071571428572,37.17673714285716,0.0017285321428571754,26.5157515,7.454807857142857,82.51951271428571,30.44710771428572,0.0016954035714285554,27.883669214285714,8.026466999999997,78.03665192857143,36.91780614285714,0.0017604078571428206,26.21121242857143,6.7608991428571485,82.33960942857144,30.349109714285717,0.0016370571428571679,27.793326285714286,4.464180857142857,77.24855278571428,22.353096714285712,0.0012878049999999752,27.793326285714286,4.464180857142857,77.24855278571428,22.353096714285712,0.0012878049999999752,27.633492571428572,3.9708337142857175,78.001462,20.088752,0.0013110692857142836
2010-01-17,2,0.0,0.18034671,25.783948714285714,30.02912257142857,67.21765085714286,88.52002942857143,0.9969007157142856,0.9995016828571429,0.8654742714285716,0,0.0,0.0,25.71538,30.421125142857143,65.63109957142856,88.45352728571429,0.9968997285714286,0.9995049857142858,0.8830442864285715,1,0.0,0.8081004,25.71538,30.421125142857143,65.63109957142856,88.45352728571429,0.9968997285714286,0.9995049857142858,0.8830442864285715,0,0.0,0.0,22.54473014285714,31.092952285714286,60.87140342857143,97.38291428571428,0.9971594071428571,1.0008320528571428,1.9557128285714285,0,0.0,0.0,24.157801714285714,32.21291214285714,61.90451842857143,96.16884871428572,0.9963877728571429,0.9999310185714286,1.7230657714285713,0,0.0,0.0,22.64171914285714,30.96702357142857,66.45877871428571,97.891947,0.9967377500000001,1.0005222057142857,1.7507942557142857,7,0.0,4.2289686,23.705025857142857,32.47268714285714,58.953233,96.40577371428571,0.9965472285714286,1.000062177142857,2.077680092857143,28.0888565,8.767661285714283,77.67950335714286,37.45254071428572,0.0017574742857142112,26.804371357142855,8.325304428571428,82.17536285714286,31.433168285714288,0.0018922278571428253,28.18535692857143,8.055110428571428,79.03668357142857,34.26433028571429,0.001771622857142885,26.81884121428571,8.548222142857146,79.12715885714286,36.511510857142845,0.001836322857142858,28.068252571428573,4.705745142857143,77.04231342857142,22.822427714285723,0.001302628571428599,28.068252571428573,4.705745142857143,77.04231342857142,22.822427714285723,0.001302628571428599,27.906535642857143,4.245173857142856,77.86884014285715,21.302378571428576,0.0013004835714286456
2010-01-24,3,0.0,0.27052006,25.543932428571427,30.059099571428572,67.59939428571428,89.89478342857144,0.99566013,0.99853421,1.5441214328571429,2,0.0,1.1171436,25.508806571428572,30.324005,66.29823814285714,90.05719771428572,0.9956894585714285,0.9985358114285715,1.80440144,0,0.0,0.0,25.508806571428572,30.324005,66.29823814285714,90.05719771428572,0.9956894585714285,0.9985358114285715,1.80440144,3,0.0,13.967131,22.60473214285714,31.709459428571428,59.900277714285714,97.92196514285715,0.9957985414285714,0.99974529,2.4208171714285713,0,0.0,0.0,24.046556428571428,32.56725642857143,60.939626857142855,95.89718128571428,0.9949948571428572,0.9989294,2.6703956314285717,0,0.0,0.0,22.98520314285714,31.216073,65.18316357142858,96.76661757142857,0.9956919342857143,0.9996066914285714,1.1712129185714286,0,0.0,0.0,23.92873271428571,33.286280857142856,57.24857457142857,95.32988071428572,0.9949808842857142,0.9990578128571429,1.7292199714285716,28.607506785714286,9.357548142857144,76.28922764285714,38.08130614285715,0.0020384642857143587,27.10063807142857,8.23086985714286,80.97489057142857,31.58345399999999,0.0019573785714285252,28.30690642857143,8.520700000000005,78.41840407142857,34.95755442857143,0.0019672714285713933,27.157095785714283,9.104727285714286,78.91112142857143,38.02168742857143,0.0019733742857143133,27.916405785714286,4.815198428571428,78.17771792857144,23.758959571428576,0.001423176428571482,27.916405785714286,4.815198428571428,78.17771792857144,23.758959571428576,0.001423176428571482,27.801516,4.515167142857145,78.74708885714287,22.29538914285716,0.0014370400000000005
2010-01-31,8,0.0,0.72138685,25.340598142857143,28.881522142857143,75.21315557142857,91.20124,0.9944960414285714,0.9975640385714285,3.2757829,0,0.0,0.0,25.271445142857143,29.34858042857143,72.29160942857143,91.97026128571429,0.9944920185714287,0.9975483614285715,3.307021328571429,0,0.0,0.0,25.271445142857143,29.34858042857143,72.29160942857143,91.97026128571429,0.9944920185714287,0.9975483614285715,3.307021328571429,0,0.0,0.0,22.896964142857144,29.75793871428571,67.43067642857143,97.49075057142856,0.9953497328571429,0.99901432,2.5590685714285715,0,0.0,0.0,23.605708714285715,30.67905957142857,70.26723057142857,98.84878285714285,0.9945707871428571,0.9980563857142857,6.948695857142857,1,0.0,3.0521305,22.803859142857142,29.919629571428572,69.52215014285714,98.142708,0.9949660214285715,0.9986517471428572,3.270618645714286,4,0.0,2.4165535,23.481746285714284,30.892325571428568,67.03268285714286,98.09427785714286,0.9943885714285715,0.9981796242857143,3.582888665714286,27.187035928571426,7.4105792857142845,82.56348035714285,31.061594999999997,0.0018955264285713813,26.361744357142857,7.11577042857143,83.83242907142858,28.620557857142856,0.0018428628571428574,27.142384142857143,7.073350857142856,84.55800671428571,28.58155228571428,0.0017427992857143026,26.32745142857143,6.860974571428567,82.4607135,30.060074142857133,0.001832293571428556,27.310012785714285,4.077135285714288,82.13093535714286,19.678651857142853,0.0015281714285714232,27.310012785714285,4.077135285714288,82.13093535714286,19.678651857142853,0.0015281714285714232,27.11106014285714,3.5409240000000004,83.20719778571429,15.988084428571426,0.001533998571428552
2010-02-07,6,0.7397992,0.5410401,26.444750285714285,30.347229,71.96836628571428,89.40994371428572,0.9946170128571429,0.99732802,2.14668289,2,0.74506927,1.1171436,26.623552571428572,30.94564385714286,67.72586114285714,88.6794807142857,0.9945814614285714,0.9973401585714285,1.6907271814285714,0,0.0,0.0,26.623552571428572,30.94564385714286,67.72586114285714,88.6794807142857,0.9945814614285714,0.9973401585714285,1.6907271814285714,0,0.0,0.0,24.20880142857143,32.07773685714286,57.48594114285714,91.94265214285714,0.9951292342857142,0.9987555185714285,0.23817571571428572,0,0.5,0.0,24.728402142857142,33.26460514285714,60.766592714285714,96.77372700000001,0.9944166171428571,0.99762842,1.459884265,0,0.0,0.0,23.73081285714286,31.483162714285715,65.83175800000001,96.47947428571429,0.9949962242857142,0.9982724271428571,0.9258899685714285,2,0.34067658,1.2082767,25.13814842857143,33.646628285714286,55.485533714285715,94.668415,0.9942568500000001,0.9978059057142856,0.8717857142857142,29.392388357142856,8.508479857142856,75.07697435714286,39.18288128571428,0.0017745278571427714,27.60698778571429,7.752349857142857,81.15561614285716,30.64771628571428,0.001638101428571459,28.996503642857142,8.536203,78.77015985714286,36.007134285714294,0.0016059014285714213,28.143269142857143,7.8689354285714295,74.71429664285714,34.456711,0.0018131421428571604,28.784598214285715,4.322091285714286,78.20267092857142,20.95361957142856,0.0013793485714285736,28.784598214285715,4.322091285714286,78.20267092857142,20.95361957142856,0.0013793485714285736,28.395989642857142,3.9024787142857136,80.689155,17.441577428571435,0.0013555035714285513
2010-02-14,7,0.62832296,0.6312135,25.44766257142857,28.849273285714283,74.58747842857143,91.29302514285713,0.9942936299999999,0.9974437814285714,3.098732842857143,0,0.0,0.0,25.33107642857143,29.12156457142857,73.59979628571429,92.12010357142857,0.9943288014285715,0.9974263685714285,3.5388987428571426,0,0.0,0.0,25.33107642857143,29.12156457142857,73.59979628571429,92.12010357142857,0.9943288014285715,0.9974263685714285,3.5388987428571426,1,0.58240587,4.65571,22.667498142857145,29.761038857142857,67.06754557142857,97.81734857142858,0.9945636957142857,0.9983922242857143,2.511697194285714,0,0.5,0.0,23.745993285714285,30.516370571428574,69.73519871428572,98.36509442857142,0.9942769499999999,0.99782584,4.183318389999999,1,0.730556,3.0521305,22.791190142857143,29.219766142857143,74.38375357142857,98.04038200000001,0.9946490071428571,0.99854117,3.3029828714285716,2,0.38479245,1.2082767,23.57455014285714,30.950513714285712,66.61536428571428,98.13731500000002,0.9942163342857143,0.9978995271428571,4.146417271428572,27.262531928571427,7.375963571428571,82.37633964285715,31.521950714285737,0.0018415964285714015,26.005478142857143,6.428576,86.21206778571428,23.656628428571437,0.0019460814285714445,27.13118192857143,6.770377285714289,84.05014657142857,28.62989571428571,0.0017744450000000134,26.214268500000003,7.093540714285712,82.44244707142857,30.749803000000014,0.0019142642857142844,27.2263205,3.790488142857143,82.85994992857144,18.52030728571428,0.0015487835714285136,27.2263205,3.790488142857143,82.85994992857144,18.52030728571428,0.0015487835714285136,27.148467928571428,3.401610714285713,82.94025178571428,16.705546714285703,0.001575075714285723
2010-02-21,15,0.9607274,1.3526003,26.46959157142857,30.317204,70.35459571428571,89.04723142857142,0.9951442857142857,0.99798778,1.1823814685714285,3,0.8633518,1.6757156,26.448508142857143,30.799443,67.51324614285714,89.11649714285714,0.9950924114285714,0.9979973185714286,0.9709328771428571,0,0.0,0.0,26.448508142857143,30.799443,67.51324614285714,89.11649714285714,0.9950924114285714,0.9979973185714286,0.9709328771428571,1,0.72802776,4.65571,23.737984714285716,31.237910857142857,62.11638357142857,95.47323714285714,0.9954442571428571,0.9992540642857143,1.6493557571428572,0,0.5,0.0,24.790706,32.881809857142855,60.91718171428572,95.02410657142858,0.9947459571428572,0.9982731942857143,1.7644942858571429,1,0.6887573,3.0521305,23.452876428571432,30.779658285714284,68.04293285714286,96.994738,0.9954870985714285,0.9989613085714285,2.4465443,3,0.60192084,1.812415,24.76217642857143,33.46432042857143,57.49168185714286,94.73470342857142,0.9945023371428572,0.99848678,0.9309071428571428,29.11324842857143,8.702144000000004,76.11319264285714,37.243021571428564,0.001992221428571417,27.11626735714286,7.326781857142851,82.51883542857144,28.95180514285714,0.0017371050000000166,28.836257928571428,8.091103857142855,77.97064414285714,34.10692485714286,0.001763618571428538,27.487947785714287,7.4999261428571415,78.79481035714286,33.35685357142857,0.0019049035714285845,28.623975571428574,4.350934857142857,78.31487164285714,21.603251,0.0014524535714285913,28.623975571428574,4.350934857142857,78.31487164285714,21.603251,0.0014524535714285913,28.393397785714285,3.8476124285714306,79.70091357142857,18.692635714285714,0.0014217471428571438
2010-02-28,12,0.75077707,1.0820802,25.908403714285715,29.989353857142856,73.52507657142857,90.62238942857142,0.9950237157142857,0.99849045,1.12063858,3,0.80694133,1.6757156,25.825570142857142,30.33000842857143,71.88369985714286,91.44089157142857,0.9950894342857143,0.9984693971428571,1.1588856942857144,0,0.0,0.0,25.825570142857142,30.33000842857143,71.88369985714286,91.44089157142857,0.9950894342857143,0.9984693971428571,1.1588856942857144,0,0.0,0.0,23.425519714285713,30.282767142857146,67.760459,98.250675,0.9955638642857142,0.9998616542857144,2.9799456857142856,0,0.5,0.0,24.23621042857143,32.365495857142854,64.91486757142857,97.69811657142859,0.9947818385714287,0.9989494842857143,2.4407042785714284,1,0.59505916,3.0521305,23.254969999999997,29.77224742857143,72.91637228571429,98.03522057142857,0.9953707757142858,0.9996098428571428,2.1953843285714285,1,0.20609318,0.6041384,24.28388742857143,32.461988285714284,62.80500657142857,96.91117628571429,0.9945659128571428,0.9990864428571429,2.5454085285714285,28.37293785714286,8.178100857142855,79.85809142857143,34.10616971428572,0.002260265000000039,26.513608714285713,6.5172774285714326,85.47579642857143,25.11884828571428,0.0021195335714285224,28.300853142857143,8.129285428571425,81.30649207142858,32.78324900000001,0.002083822857142814,26.85414342857143,6.8572474285714335,83.005567,30.490216000000004,0.002148895000000095,28.077789285714285,4.504438285714286,81.6622957142857,19.557191714285707,0.0016899814285714077,28.077789285714285,4.504438285714286,81.6622957142857,19.557191714285707,0.0016899814285714077,27.948878785714285,4.080950142857141,82.073733,17.097312857142853,0.0017333671428571562
2010-03-07,18,0.8713439,1.6231204,26.315237857142854,30.646597714285715,67.17119428571428,89.68443242857143,0.9952670771428572,0.9985299214285714,0.4945456885714286,2,0.46985954,1.1171436,26.128361,30.680672714285716,68.49840342857142,90.70852128571428,0.99533281,0.9985355214285715,0.5426871485714286,0,0.0,0.0,26.128361,30.680672714285716,68.49840342857142,90.70852128571428,0.99533281,0.9985355214285715,0.5426871485714286,5,0.97337526,23.278551,23.548823857142857,31.50198814285714,63.53672042857143,97.39860857142857,0.9954485999999999,0.9997638371428571,0.5388171199999999,0,0.5,0.0,24.872375428571427,33.413722285714286,60.575827714285715,95.558945,0.9946837414285714,0.9989253614285715,0.4038871185714286,0,0.0,0.0,23.43276542857143,32.16224871428572,62.26641357142857,97.045826,0.9951476314285713,0.9995399385714286,0.3199485714285714,4,0.77278507,2.4165535,24.953251571428574,33.44720914285715,57.65182171428571,92.60387728571428,0.99466579,0.9989981442857143,0.26526286,29.20023035714286,8.493957571428574,75.1278495,34.952055571428566,0.002166177142857162,27.797507071428573,8.729483285714288,79.65611978571428,34.77941242857143,0.0021961535714286606,29.14304885714286,8.541346857142859,78.06738635714285,34.98311728571428,0.0021208100000000285,27.525405999999997,7.9531642857142835,80.4676645,33.86188814285714,0.002157618571428599,28.40451685714286,4.552311714285715,79.60346235714286,22.210117857142862,0.0016013557142857682,28.40451685714286,4.552311714285715,79.60346235714286,22.210117857142862,0.0016013557142857682,28.480917785714283,4.331359857142861,78.42781335714285,22.513238142857148,0.0016314221428571085
