,casos_3156700,p_rt1_3156700,Rt_3156700,p_inc100k_3156700,temp_min_3156700,temp_max_3156700,umid_min_3156700,umid_max_3156700,pressao_min_3156700,pressao_max_3156700,precip_tot_3156700,casos_3154606,p_rt1_3154606,Rt_3154606,p_inc100k_3154606,temp_min_3154606,temp_max_3154606,umid_min_3154606,umid_max_3154606,pressao_min_3154606,pressao_max_3154606,precip_tot_3154606,casos_3106200,p_rt1_3106200,Rt_3106200,p_inc100k_3106200,temp_min_3106200,temp_max_3106200,umid_min_3106200,umid_max_3106200,pressao_min_3106200,pressao_max_3106200,precip_tot_3106200,temp_mean_3106200,temp_amp_3106200,umid_mean_3106200,umid_amp_3106200,pressao_mean_3106200,temp_mean_3154606,temp_amp_3154606,umid_mean_3154606,umid_amp_3154606,pressao_mean_3154606,temp_mean_3156700,temp_amp_3156700,umid_mean_3156700,umid_amp_3156700,pressao_mean_3156700
2010-03-14,183,0.9999992,1.7862933,133.45488,18.183088,28.829720714285713,55.68897628571428,95.48113485714285,0.9969155857142857,1.0009539385714286,1.1787542171428573,277,0.9999998,1.6313708,81.90492,19.237012714285715,29.51237714285714,59.774903571428574,95.218445,0.9963785742857143,1.0007267842857144,0.6243000114285715,4333,1.0,1.4472648,171.8378,18.902871142857144,29.10601828571429,58.73058857142858,95.15075214285714,0.9966507671428572,1.0009247985714285,0.6779685671428571,24.004444714285718,10.203147142857144,76.94067035714286,36.42016357142857,0.0021370157142856505,24.37469492857143,10.275364428571425,77.49667428571429,35.44354142857143,0.0021741050000000373,23.506404357142856,10.646632714285712,75.58505557142857,39.792158571428565,0.002019176428571412
2010-03-21,147,0.6523001,1.0472133,107.20146,17.618111857142857,25.877899142857142,64.703377,97.02526171428572,1.0012418057142856,1.0051173142857144,2.193734251428572,260,0.97837335,1.2038549,76.878265,18.524863285714286,27.384656714285715,60.967507000000005,94.89224,1.0003324785714285,1.0042974285714286,1.3459185714285713,4550,1.0,1.293234,180.44357,18.207842142857142,27.090763714285714,61.23680685714286,95.47134714285714,1.0006411942857143,1.0044949571428572,1.0577585814285715,22.64930292857143,8.882921571428572,78.354077,34.23454028571428,0.0019268814285714475,22.95476,8.859793428571429,77.9298735,33.924732999999996,0.001982475000000039,21.748005499999998,8.259787285714285,80.86431935714286,32.321884714285716,0.0019377542857144103
2010-03-28,156,0.40776974,0.9741331,113.76482,17.70400557142857,26.768742142857143,60.754908428571426,97.08983214285715,1.0003636657142858,1.0041156285714286,0.3826514357142857,210,0.042444102,0.8509922,62.093987,18.737265428571426,27.977683000000003,59.93043471428571,94.4531752857143,0.9993391642857142,1.0035433857142857,0.5172414369999999,4631,1.0,1.1378869,183.65585,18.38026657142857,27.593000142857143,59.32528657142857,95.556152,0.999712737142857,1.0037440142857144,0.41268712714285716,22.986633357142857,9.212733571428572,77.44071928571428,36.23086542857143,0.0020156385714286684,23.357474214285716,9.240417571428576,77.191805,34.522740571428585,0.002102110714285732,22.23637385714286,9.064736571428572,78.9223702857143,36.33492371428572,0.0018759814285713716
2010-04-04,193,0.960886,1.2064229,140.7475,18.080867285714287,25.413875142857144,69.17328128571428,97.17896857142857,0.9998751942857143,1.0036193142857144,2.8201342857142855,297,0.9779089,1.1880007,87.81864,19.083557000000003,26.63787414285714,66.62565571428571,94.72716285714286,0.9989127014285714,1.0029036,1.8975771057142856,5737,1.0,1.2778077,227.51753,18.755628142857145,26.38452157142857,66.33353357142857,95.65761871428572,0.9992231799999999,1.0031020285714285,1.957437200285714,22.570074857142856,7.628893428571427,80.99557614285715,29.324085142857143,0.0019394242857143085,22.86071557142857,7.554317142857137,80.67640928571429,28.101507142857145,0.0019954492857143236,21.747371214285714,7.3330078571428565,83.17612492857143,28.005687285714288,0.0018720600000000642
2010-04-11,148,0.19585098,0.90750784,107.93072,13.494075285714286,22.86117557142857,58.799910000000004,94.82201628571428,1.0002043114285715,1.0038444714285715,2.8900843567,229,0.20634729,0.9276834,67.71201,14.800458428571428,24.830557857142857,53.601820857142854,91.69154285714286,0.9993878985714285,1.0033619571428571,1.3369428005714286,4934,0.79545003,1.0168284,195.67221,14.39444392857143,24.424033142857144,53.91041785714286,92.71421285714287,0.9995850257142856,1.0034137142857142,1.5531785150000001,19.409238535714287,10.029589214285714,73.31231535714286,38.80379500000001,0.0019143442857142978,19.81550814285714,10.030099428571429,72.64668185714285,38.08972200000001,0.0019870292857143146,18.177625428571428,9.367100285714285,76.81096314285715,36.02210628571428,0.0018200800000000017
2010-04-18,146,0.11500679,0.87317187,106.4722,14.196589857142857,24.117200571428572,57.37977028571429,96.27981785714285,1.0045953714285714,1.0081562571428573,0.18611285742857145,231,0.16409428,0.914934,68.30338,14.935241857142858,26.17206242857143,51.21228057142857,93.52938857142858,1.0035027428571428,1.0072417714285715,0.043295714857142856,4548,4.1920614e-09,0.8893146,180.36424,14.903159,25.509508571428572,53.04167585714286,94.36754357142857,1.0038669571428571,1.007439442857143,0.0970899997,20.206333785714286,10.606349571428572,73.70460971428571,41.32586771428571,0.0017862428571429056,20.553652142857143,11.236820571428572,72.37083457142857,42.31710800000001,0.0018695142857143576,19.156895214285715,9.920610714285715,76.82979407142857,38.90004757142856,0.001780442857142961
2010-04-25,173,0.7705863,1.0845662,126.16226,16.22439585714286,26.67877185714286,52.45453514285714,91.70762014285715,1.0011369214285715,1.0054020428571429,0.05615714242857143,309,0.9949796,1.2443155,91.36687,16.560464142857143,28.293404857142857,48.523743,91.03716999999999,1.0003675428571428,1.0047213,0.007150000000000001,5465,0.99999213,1.0880184,216.73058,16.4214215,27.88138685714286,48.49602057142857,91.34449071428571,1.0006222557142856,1.0049561857142857,0.022351428428571428,22.151404178571433,11.45996535714286,69.92025564285714,42.84847014285714,0.0021669650000000207,22.4269345,11.732940714285714,69.7804565,42.513426999999986,0.0021768785714285643,21.451583857142857,10.454376,72.08107764285714,39.25308500000001,0.0021325607142856917
2010-05-02,131,0.08501154,0.8499729,95.53327,15.853751142857144,25.009443142857144,60.361603,95.74301857142858,1.0022569428571428,1.0060850142857143,1.0181943028571427,312,0.9904941,1.2178826,92.25392,16.80501,27.312408285714287,52.62107342857143,92.56352185714286,1.0012002857142857,1.0052399,0.3401871427142857,5334,0.9999253,1.0776811,211.53539,16.631016142857142,26.801805714285713,53.081247857142856,93.27689428571429,1.0015021285714287,1.0054738571428572,0.43224429999999997,21.716410928571428,10.170789571428571,73.17907107142858,40.195646428571436,0.001985864285714234,22.058709142857143,10.507398285714288,72.59229764285715,39.94244842857143,0.0020198071428572106,20.431597142857143,9.155692,78.0523107857143,35.381415571428576,0.0019140357142857223
2010-05-09,95,0.00020217613,0.63316804,69.279854,14.137006571428572,25.33946442857143,49.87661685714286,86.32322971428572,1.0017160914285714,1.0059552571428572,0.08026571428571429,183,4.1902595e-06,0.6576765,54.110474,14.316236142857141,27.033185714285715,44.74450342857143,87.28968142857143,1.0009262571428572,1.0053356857142857,0.021885714285714286,3884,0.0,0.76554364,154.03139,14.463383285714286,26.669010714285715,44.59758642857143,85.60381014285714,1.0011784142857143,1.0055433857142857,0.003224285857142857,20.566197000000003,12.205627428571429,65.10069828571429,41.00622371428571,0.002182485714285698,20.67471092857143,12.716949571428573,66.01709242857143,42.545178,0.0022047142857142266,19.738235500000002,11.202457857142857,68.09992328571428,36.44661285714286,0.0021195828571428654
2010-05-16,107,0.056186445,0.81398976,78.03099,12.049656428571428,22.176810285714286,60.73018642857143,94.48188714285713,1.0016040428571429,1.0057317285714285,2.3887001142857143,120,5.5289107e-14,0.45536414,35.482277,12.384190114285715,23.714695428571428,56.41379228571429,93.86049271428571,1.0010172428571429,1.0050987714285715,1.92153,2845,0.0,0.5912377,112.8268,12.425371471428573,23.321411,57.73008728571428,93.88115714285713,1.001191567142857,1.0052866857142857,2.0733571714285715,17.873391235714287,10.896039528571428,75.8056222142857,36.15106985714285,0.0020475592857143177,18.049442771428573,11.330505314285713,75.1371425,37.446700428571425,0.002040764285714314,17.113233357142857,10.127153857142858,77.60603678571428,33.751700714285704,0.0020638428571427836
