,casos_2211308,p_rt1_2211308,p_inc100k_2211308,temp_min_2211308,temp_max_2211308,umid_min_2211308,umid_max_2211308,pressao_min_2211308,pressao_max_2211308,precip_tot_2211308,casos_2211001,p_rt1_2211001,p_inc100k_2211001,temp_min_2211001,temp_max_2211001,umid_min_2211001,umid_max_2211001,pressao_min_2211001,pressao_max_2211001,precip_tot_2211001,temp_mean_2211001,temp_amp_2211001,umid_mean_2211001,umid_amp_2211001,pressao_mean_2211001,temp_mean_2211308,temp_amp_2211308,umid_mean_2211308,umid_amp_2211308,pressao_mean_2211308
2010-01-03,0,0.0,0.0,23.480804428571428,30.009251428571428,57.99106271428572,89.46957499999999,0.9956801185714286,0.9997736957142856,2.205128565,1,0.0,0.11519742,23.570608857142854,29.964974428571427,66.21458042857144,95.62926928571429,0.9953376228571429,0.9991551728571428,2.8555257714285713,26.76779164285714,6.3943655714285725,80.92192485714287,29.41468885714285,0.0019087749999999737,26.745027928571428,6.528447,73.73031885714286,31.478512285714274,0.002046788571428537
2010-01-10,0,0.0,0.0,23.944397000000002,30.797359,53.88175185714285,83.54837085714287,0.9959760128571428,0.9994026242857144,0.33170714742857144,6,0.0,0.6911845,24.016950428571427,31.994833142857143,56.51025557142857,94.95187557142857,0.9952755971428572,0.9987604371428571,0.7784371285714285,28.005891785714283,7.977882714285716,75.73106557142857,38.44162,0.0017424199999999668,27.370878,6.852961999999998,68.71506135714286,29.66661900000002,0.0017133057142857955
2010-01-17,0,0.0,0.0,23.649584142857144,33.246311428571424,47.558679,86.11102771428571,0.99697981,1.0008497428571428,0.7224914148571429,4,0.0,0.46078968,23.913317142857142,32.94584871428572,55.826498428571426,95.354782,0.9963538585714286,1.0001054442857142,1.4972514757142859,28.429582928571428,9.032531571428574,75.59064021428571,39.528283571428574,0.001875792857142844,28.447947785714284,9.59672728571428,66.83485335714286,38.55234871428571,0.001934966428571383
2010-01-24,0,0.0,0.0,23.54303857142857,33.41330385714286,44.86150414285714,86.21286285714287,0.9954365442857143,0.9997170557142857,0.9158899770857143,3,0.0,0.34559226,24.07563114285714,33.88471771428571,51.409597000000005,93.63226657142857,0.9948736228571429,0.9991229385714285,1.60694,28.980174428571427,9.809086571428573,72.52093178571428,42.22266957142857,0.002124657857142831,28.478171214285716,9.870265285714286,65.5371835,41.35135871428572,0.0021402557142857215
2010-01-31,0,0.0,0.0,23.559474285714288,31.561702285714286,55.394808714285716,87.90205,0.9948667642857142,0.9989331300000001,3.292422857142857,0,0.0,0.0,23.67599057142857,31.60829357142857,62.72607057142857,97.82703000000001,0.9944332828571428,0.9983016100000001,3.6040285714285716,27.642142071428573,7.932303000000001,80.2765502857143,35.100959428571436,0.0019341635714286154,27.56058828571429,8.002227999999999,71.64842935714286,32.50724128571429,0.0020331828571429345
2010-02-07,0,0.5,0.0,25.38928185714286,34.58044042857143,40.92821257142857,72.25933142857143,0.9947505457142858,0.9988528614285714,0.04489142918571428,0,0.0,0.0,25.228227714285715,34.333290999999996,49.761027285714285,93.70011642857142,0.9941139542857143,0.9979542671428572,0.3456971432857143,29.780759357142855,9.10506328571428,71.73057185714285,43.939089142857135,0.0019201564285714623,29.98486114285714,9.19115857142857,56.593772,31.33111885714286,0.002051157857142827
2010-02-14,0,0.5,0.0,23.802677714285714,31.258173857142857,55.730670714285715,87.76384914285714,0.9945192271428571,0.9984989000000001,1.944322862142857,1,0.49223122,0.11519742,23.71324357142857,31.127476285714287,65.79003942857143,98.70753871428572,0.9941383814285715,0.99794464,4.554847185714285,27.42035992857143,7.414232714285717,82.24878907142858,32.917499285714285,0.001903129285714289,27.530425785714286,7.455496142857143,71.74725992857142,32.033178428571425,0.0019898364285714787
2010-02-21,0,0.5,0.0,24.82012057142857,34.246525,42.29719728571428,78.58209514285714,0.9949379485714286,0.9993534657142857,0.1736414314285714,2,0.8759624,0.23039484,25.019129999999997,34.228663857142855,52.16929328571428,93.59881371428571,0.9942512642857143,0.9985802,0.24464857,29.623896928571426,9.209533857142858,72.8840535,41.42952042857143,0.00216446785714286,29.533322785714283,9.426404428571427,60.439646214285716,36.28489785714286,0.0022077585714285752
2010-02-28,0,0.5,0.0,25.165069714285714,33.727474428571426,46.296362714285706,82.23931371428571,0.9946721157142857,0.9996932042857143,0.42666571999999997,0,0.0,0.0,24.497079000000003,32.804573999999995,59.865933285714284,96.42918928571429,0.9943515257142856,0.9991484357142857,1.8273214428571427,28.6508265,8.307494999999992,78.14756128571429,36.563256,0.0023984550000000215,29.44627207142857,8.562404714285712,64.26783821428572,35.94295100000001,0.002510544285714289
2010-03-07,0,0.5,0.0,24.59963557142857,33.886069142857146,46.615975285714285,86.69669999999999,0.99468085,0.9997621628571428,0.6772228428571428,2,0.7102028,0.23039484,24.894823285714285,33.478773,57.19625914285714,92.88994857142858,0.9946045028571427,0.9990098728571429,0.30247142542857147,29.186798142857143,8.583949714285712,75.04310385714285,35.69368942857144,0.002202685000000093,29.24285235714286,9.286433571428574,66.65633764285714,40.08072471428571,0.0025406564285714306
2010-03-14,0,0.5,0.0,24.419839142857143,34.206490714285714,45.733483285714286,88.36028714285715,0.9948221457142857,1.0000141628571428,0.6275471420000001,2,0.7151104,0.23039484,24.832877285714286,34.178166142857144,51.725093571428566,92.86892442857142,0.9946096614285714,0.9992971185714286,0.7287414271428572,29.505521714285713,9.345288857142858,72.29700899999999,41.14383085714285,0.0023437285714285605,29.313164928571428,9.786651571428571,67.04688521428571,42.62680385714286,0.002596008571428554
