,casos_2511905,p_rt1_2511905,p_inc100k_2511905,temp_min_2511905,temp_max_2511905,umid_min_2511905,umid_max_2511905,pressao_min_2511905,pressao_max_2511905,precip_tot_2511905,casos_2508307,p_rt1_2508307,p_inc100k_2508307,temp_min_2508307,temp_max_2508307,umid_min_2508307,umid_max_2508307,pressao_min_2508307,pressao_max_2508307,precip_tot_2508307,casos_2507507,p_rt1_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,umid_max_2507507,pressao_min_2507507,pressao_max_2507507,precip_tot_2507507,casos_2506004,p_rt1_2506004,p_inc100k_2506004,temp_min_2506004,temp_max_2506004,umid_min_2506004,umid_max_2506004,pressao_min_2506004,pressao_max_2506004,precip_tot_2506004,temp_mean_2506004,temp_amp_2506004,umid_mean_2506004,umid_amp_2506004,pressao_mean_2506004,temp_mean_2507507,temp_amp_2507507,umid_mean_2507507,umid_amp_2507507,pressao_mean_2507507,temp_mean_2508307,temp_amp_2508307,umid_mean_2508307,umid_amp_2508307,pressao_mean_2508307,temp_mean_2511905,temp_amp_2511905,umid_mean_2511905,umid_amp_2511905,pressao_mean_2511905
2010-01-03,0,0.0,0.0,25.677350999999998,27.330361285714286,78.78515714285716,86.78906742857144,0.9968300771428572,0.9993085671428571,0.9573185542857142,0,0.0,0.0,22.44843842857143,30.968693142857145,56.32311871428572,94.006062,0.9967283885714285,0.9999240171428572,0.9343757085714286,0,0.0,0.0,24.765014428571426,28.968096142857142,72.91531214285715,89.31740657142858,0.9967205085714286,0.9992848285714285,1.0219185842857144,0,0.0,0.0,21.451524857142857,29.98868642857143,56.65866271428571,95.61322,0.9970055971428572,1.0002966428571427,0.8219285562857143,25.720105642857142,8.537161571428573,76.13594135714285,38.95455728571429,0.001645522857142756,26.866555285714284,4.203081714285716,81.11635935714287,16.40209442857143,0.0012821599999999767,26.708565785714285,8.520254714285716,75.16459035714286,37.68294328571428,0.0015978142857143163,26.503856142857142,1.6530102857142879,82.7871122857143,8.003910285714284,0.0012392449999999444
2010-01-10,0,0.0,0.0,25.631234428571428,27.361798999999998,75.81202557142856,84.8997322857143,0.9975003100000001,0.9999512428571428,0.6177671214285715,0,0.0,0.0,22.193188999999997,29.37411057142857,60.39807157142857,92.66247414285715,0.9974345942857142,1.0005154285714286,0.6536885514285714,0,0.0,0.0,24.886762285714287,28.48396057142857,73.01376628571428,88.14523785714286,0.9973791928571428,0.99991889,0.7483099854285714,0,0.0,0.0,21.10824142857143,28.484418428571427,59.823291285714284,95.10497071428571,0.9976995314285714,1.0008423,0.49936428514285713,24.796329928571428,7.376176999999998,77.464131,35.28167942857143,0.0015713842857142946,26.68536142857143,3.597198285714285,80.57950207142858,15.131471571428577,0.001269848571428589,25.78364978571428,7.1809215714285735,76.53027285714286,32.26440257142858,0.0015404171428571867,26.49651671428571,1.7305645714285696,80.35587892857143,9.08770671428573,0.0012254664285713535
2010-01-17,0,0.0,0.0,25.79223185714286,27.309600999999997,74.27383714285715,83.28855785714286,0.9988190514285714,1.0013646142857142,0.8308857171428572,0,0.0,0.0,22.239096285714286,29.56344185714286,60.032515999999994,94.83835571428573,0.9987381414285714,1.0019291000000001,0.4029314258571429,0,0.0,0.0,24.783678285714284,28.582576142857143,69.70987728571428,87.74299128571428,0.9986855128571428,1.0013061042857143,0.5496299998571429,0,0.0,0.0,21.109597285714283,28.73934514285714,58.60031157142857,97.04895771428572,0.9988888114285714,1.0022632571428571,0.4400771345714286,24.92447121428571,7.629747857142856,77.82463464285715,38.44864614285715,0.001687222857142845,26.68312721428571,3.798897857142858,78.72643428571428,18.033113999999998,0.0013102957142857585,25.901269071428572,7.324345571428573,77.43543585714286,34.80583971428573,0.0015954792857143518,26.550916428571426,1.517369142857138,78.7811975,9.014720714285716,0.0012727814285714012
2010-01-24,0,0.0,0.0,25.382459,27.115116857142855,78.29130528571429,87.52937514285713,0.9976479228571428,1.0002956657142856,1.3515342585714285,0,0.0,0.0,22.253679285714288,28.767425428571432,65.15690514285714,93.87939171428572,0.9976169242857144,1.0009411571428573,1.6782143428571428,0,0.0,0.0,24.538692,28.124685857142858,74.41936271428573,89.29764771428572,0.9973987628571429,1.00028782,0.9563285871428572,0,0.0,0.0,21.117340285714285,28.396737285714288,64.31314685714285,96.61120714285714,0.9976929542857143,1.0013445,1.2686943714285714,24.757038785714286,7.279397000000003,80.462177,32.298060285714286,0.0018257728571429155,26.33168892857143,3.5859938571428565,81.85850521428571,14.878284999999991,0.0014445285714285716,25.51055235714286,6.513746142857144,79.51814842857144,28.722486571428576,0.0016621164285714474,26.248787928571428,1.7326578571428541,82.91034021428571,9.238069857142847,0.0013238714285714326
2010-01-31,0,0.0,0.0,25.71419857142857,27.63255128571429,77.95824285714286,88.0463237142857,0.9964070642857142,0.99894988,1.1677142714285715,0,0.0,0.0,23.173344000000004,30.442526714285716,60.98189514285714,92.82334142857142,0.9963118471428573,0.9994646728571429,0.6682442928571428,0,0.0,0.0,25.104488,29.043021142857146,73.16883499999999,90.56234357142857,0.9961848157142857,0.9988717942857143,1.3498985571428572,0,0.0,0.0,22.141919857142856,29.59827542857143,60.768986999999996,95.18072057142857,0.9964665142857143,0.99976745,0.6315814142857142,25.870097642857143,7.456355571428574,77.97485378571429,34.41173357142857,0.0016504678571428455,27.073754571428573,3.938533142857146,81.86558928571428,17.393508571428583,0.001343489285714261,26.80793535714286,7.269182714285712,76.90261828571428,31.841446285714284,0.0015764128571428282,26.67337492857143,1.9183527142857173,83.00228328571428,10.088080857142842,0.0012714078571428589
2010-02-07,0,0.5,0.0,26.416421142857143,28.23405257142857,75.47146157142856,84.41145885714286,0.9975484571428571,1.0002138642857143,0.4567314314285714,0,0.5,0.0,22.85878214285714,30.510737857142857,57.51002714285715,92.81223885714287,0.9972474585714286,1.0007952285714286,0.2840971392857143,0,0.5,0.0,25.389282142857144,29.374642714285716,71.52677785714286,87.90256342857143,0.9972686642857143,1.0001005328571428,0.5942128571428571,0,0.5,0.0,21.606628285714287,29.588888857142855,57.38559271428572,96.01407628571428,0.9974793285714286,1.0010847999999999,0.26116000285714286,25.59775857142857,7.982260571428569,76.69983450000001,38.62848357142856,0.0018027357142856304,27.38196242857143,3.985360571428572,79.71467064285714,16.375785571428565,0.0014159342857142931,26.684759999999997,7.651955714285716,75.161133,35.302211714285725,0.001773884999999975,27.325236857142855,1.8176314285714277,79.94146021428571,8.939997285714298,0.0013327035714286173
2010-02-14,0,0.5,0.0,26.23358142857143,27.98285771428571,74.94622000000001,84.28088628571429,0.99586478,0.9984469114285714,0.6758142757142858,0,0.5,0.0,22.82349057142857,30.21453414285714,59.43512242857143,93.23439471428571,0.9958617842857143,0.9990971742857143,0.4895142885714286,0,0.5,0.0,25.349465428571428,29.03043057142857,72.13394471428572,88.04602285714286,0.9957534757142856,0.9984011357142857,0.6658285728571428,0,0.5,0.0,21.681570857142855,29.643737714285717,57.865578285714285,96.16345571428572,0.9960542614285715,0.9994415214285715,0.5011957128571429,25.662654285714286,7.962166857142861,77.014517,38.29787742857143,0.0016936300000000015,27.189948,3.6809651428571435,80.08998378571428,15.91207814285714,0.0013238300000000258,26.519012357142856,7.391043571428568,76.33475857142858,33.79927228571428,0.00161769500000003,27.10821957142857,1.7492762857142807,79.61355314285714,9.334666285714277,0.0012910657142857218
2010-02-21,0,0.5,0.0,26.34538942857143,28.140860571428572,75.67928942857144,87.97709714285713,0.9976101442857143,1.00030234,0.8579414285714285,0,0.5,0.0,23.270948,29.75578085714286,64.75593157142858,93.18978085714286,0.9976416742857143,1.0008605142857143,1.1119757142857143,0,0.5,0.0,25.566463,29.19485442857143,73.94986057142857,89.32328657142857,0.9974922442857144,1.0001579871428572,0.8786771371428571,0,0.5,0.0,22.032601285714286,28.793845,65.57062771428572,96.60804957142857,0.9978454057142857,1.0012014142857144,1.0590514257142858,25.41322314285714,6.761243714285715,81.08933864285714,31.037421857142846,0.0016780042857143518,27.380658714285715,3.6283914285714296,81.63657357142857,15.373425999999995,0.0013328714285714138,26.51336442857143,6.484832857142859,78.97285621428571,28.433849285714288,0.001609420000000028,27.243125,1.7954711428571422,81.82819328571429,12.297807714285696,0.0013460978571428472
2010-02-28,0,0.5,0.0,26.496037,28.345925571428573,77.47867157142858,86.8202492857143,0.9967038671428572,0.9994056785714286,0.90222141,0,0.5,0.0,23.473414714285717,31.094138285714287,59.14476428571429,93.73161214285714,0.9965613457142857,1.000014792857143,0.7803071568571428,1,0.9632679,0.122322515,25.720437285714286,29.838888999999998,72.07545785714285,89.24443442857144,0.9965670642857143,0.9993428271428572,0.71766714,0,0.5,0.0,22.306780142857143,30.318882714285714,58.15667714285714,96.15227214285714,0.9967618428571429,1.0003724571428572,0.4782599957142857,26.312831428571428,8.01210257142857,77.15447464285714,37.995595,0.0018053071428571488,27.779663142857142,4.118451714285712,80.65994614285714,17.168976571428587,0.0013878814285714358,27.283776500000002,7.62072357142857,76.43818821428572,34.58684785714286,0.0017267235714286677,27.420981285714287,1.849888571428572,82.14946042857144,9.34157771428572,0.0013509057142856995
2010-03-07,0,0.5,0.0,27.128723142857144,29.05387657142857,69.36193842857143,79.06226085714286,0.9966554714285714,0.9994126785714286,0.018807143,0,0.5,0.0,22.12670042857143,32.74146814285714,48.26122985714286,95.30157842857143,0.9960653971428571,1.0001088985714286,0.04202857147142857,0,0.0,0.0,25.760201714285717,30.529711,63.72131328571429,84.70620785714286,0.9965468628571428,0.9994001800000001,0.03219142722857143,0,0.5,0.0,21.009443142857144,32.19812014285714,46.19585585714286,96.96315214285714,0.9963395671428571,1.0004709328571428,0.03492428571428572,26.603781642857143,11.188676999999998,71.579504,50.76729628571428,0.00206568285714287,28.14495635714286,4.769509285714282,74.21376057142857,20.98489457142857,0.0014266585714286517,27.434084285714285,10.614767714285708,71.78140414285714,47.040348571428574,0.0020217507142857305,28.091299857142857,1.9251534285714271,74.21209964285714,9.700322428571425,0.001378603571428605
