,casos_2706901,p_rt1_2706901,p_inc100k_2706901,temp_min_2706901,temp_max_2706901,umid_min_2706901,umid_max_2706901,pressao_min_2706901,pressao_max_2706901,precip_tot_2706901,casos_2704708,p_rt1_2704708,p_inc100k_2704708,temp_min_2704708,temp_max_2704708,umid_min_2704708,umid_max_2704708,pressao_min_2704708,pressao_max_2704708,precip_tot_2704708,casos_2704500,p_rt1_2704500,p_inc100k_2704500,temp_min_2704500,temp_max_2704500,umid_min_2704500,umid_max_2704500,pressao_min_2704500,pressao_max_2704500,precip_tot_2704500,casos_2704302,p_rt1_2704302,p_inc100k_2704302,temp_min_2704302,temp_max_2704302,umid_min_2704302,umid_max_2704302,pressao_min_2704302,pressao_max_2704302,precip_tot_2704302,casos_2703759,p_rt1_2703759,p_inc100k_2703759,temp_min_2703759,temp_max_2703759,umid_min_2703759,umid_max_2703759,pressao_min_2703759,pressao_max_2703759,precip_tot_2703759,temp_mean_2703759,temp_amp_2703759,umid_mean_2703759,umid_amp_2703759,pressao_mean_2703759,temp_mean_2704302,temp_amp_2704302,umid_mean_2704302,umid_amp_2704302,pressao_mean_2704302,temp_mean_2704500,temp_amp_2704500,umid_mean_2704500,umid_amp_2704500,pressao_mean_2704500,temp_mean_2704708,temp_amp_2704708,umid_mean_2704708,umid_amp_2704708,pressao_mean_2704708,temp_mean_2706901,temp_amp_2706901,umid_mean_2706901,umid_amp_2706901,pressao_mean_2706901
2010-01-03,0,0.0,0.0,23.243425714285713,30.73111857142857,58.40338714285714,92.76430142857143,0.9965631028571428,0.9996556714285714,0.6507928571428572,0,0.0,0.0,24.20352614285714,29.277906285714288,66.92978942857142,90.4643,0.9967471057142857,0.9996104028571429,0.7600185514285714,0,0.0,0.0,24.49697,28.843994285714285,70.04261514285714,89.77238214285715,0.9967988957142857,0.9995861271428571,0.8685243028571429,0,0.0,0.0,25.20471614285714,27.406324,76.824298,87.17477371428572,0.9968718814285714,0.99964504,0.82982,0,0.0,0.0,25.063707714285716,29.41528314285714,67.84219342857143,88.38952428571429,0.9967061457142857,0.99954648,0.7731242785714285,27.23949542857143,4.351575428571426,78.11585885714285,20.547330857142853,0.0014201671428571427,26.30552007142857,2.201607857142861,81.99953585714286,10.350475714285722,0.0013865792857142845,26.670482142857143,4.347024285714284,79.90749864285715,19.72976700000001,0.0013936157142857009,26.74071621428571,5.074380142857148,78.69704471428571,23.53451057142857,0.0014316485714285787,26.987272142857144,7.487692857142857,75.58384428571429,34.36091428571429,0.0015462842857142944
2010-01-10,0,0.0,0.0,22.718527571428574,29.729461714285716,60.428800714285714,94.37910928571429,0.99756166,1.0005211242857144,0.56983,0,0.0,0.0,23.812478285714285,28.750265714285714,66.72224471428571,90.78390985714285,0.9976779442857142,1.0004131528571427,0.6385100145714285,0,0.0,0.0,24.124825285714284,28.328765999999998,69.59023285714285,89.38004128571428,0.9976750828571428,1.0003362714285713,0.7658528571428571,0,0.0,0.0,24.800881714285712,27.154798285714286,75.58776,86.99556142857143,0.9978007071428571,1.0003710385714286,0.8545771428571428,0,0.0,0.0,24.354766714285713,28.928898142857143,66.32889357142857,89.14439057142856,0.9976364728571429,1.00031308,0.696427144142857,26.641832428571426,4.57413142857143,77.73664207142856,22.815496999999993,0.0013383035714285563,25.97784,2.3539165714285737,81.29166071428571,11.407801428571432,0.0012851657142857742,26.22679564285714,4.203940714285714,79.48513707142857,19.789808428571433,0.0013305942857142483,26.281371999999998,4.937787428571429,78.75307728571428,24.061665142857137,0.0013676042857142523,26.223994642857143,7.010934142857142,77.403955,33.95030857142858,0.001479732142857182
2010-01-17,0,0.0,0.0,23.473445142857145,29.950378285714287,63.14233114285714,92.94515571428572,0.9992804085714286,1.0018854714285714,0.8669771714285714,0,0.0,0.0,24.627049285714286,28.74794214285714,69.28746942857143,88.59676285714285,0.9991773042857143,1.0018045571428573,0.9110271585714286,0,0.0,0.0,24.799774142857142,28.12761557142857,71.76361985714286,86.93349871428572,0.9991058285714286,1.0017293285714286,0.8263785828571428,0,0.0,0.0,25.638920285714285,27.19630642857143,75.73195,84.13912642857143,0.999074827142857,1.0017773714285714,0.8495828585714287,0,0.0,0.0,25.239275285714285,29.152784142857143,68.19299857142857,88.12448971428572,0.9990976457142857,1.0017121714285715,0.7680985685714286,27.196029714285714,3.9135088571428582,78.15874414285715,19.93149114285714,0.001307262857142888,26.417613357142855,1.557386142857144,79.93553821428571,8.407176428571432,0.001351272142857185,26.463694857142855,3.3278414285714284,79.34855928571429,15.169878857142862,0.0013117500000000004,26.687495714285713,4.120892857142856,78.94211614285715,19.309293428571422,0.0013136264285715238,26.711911714285716,6.476933142857142,78.04374342857143,29.80282457142858,0.0013025314285713963
2010-01-24,0,0.0,0.0,22.793130285714287,29.034228000000002,63.13572471428571,94.14346499999999,0.9982475957142858,1.0010409057142857,0.8953757071428571,0,0.0,0.0,24.185368,28.127751,69.04356928571428,89.31096542857142,0.9982783714285715,1.0008385128571429,0.9973042357142857,0,0.0,0.0,24.582663142857143,27.647195,72.77181742857142,87.58022357142856,0.9981205485714285,1.0007159514285715,1.4965114285714287,0,0.0,0.0,25.466866714285715,27.057347,73.62426642857143,85.37789214285715,0.99823591,1.0007102857142858,0.8868600067142857,0,0.0,0.0,24.86498171428571,28.459625142857142,68.052088,87.27755585714286,0.9982438157142858,1.0007899957142856,0.5995514228571429,26.662303428571427,3.5946434285714304,77.66482192857143,19.22546785714286,0.0012730899999999212,26.262106857142857,1.5904802857142855,79.5010792857143,11.753625714285718,0.0012371878571428852,26.11492907142857,3.064531857142857,80.17602049999999,14.808406142857137,0.001297701428571496,26.1565595,3.9423829999999995,79.17726735714285,20.267396142857137,0.0012800707142857082,25.913679142857145,6.241097714285715,78.63959485714285,31.007740285714284,0.001396654999999969
2010-01-31,0,0.0,0.0,23.506461142857145,29.95745842857143,64.49406185714285,93.44765514285714,0.9970531057142856,0.9997377028571428,0.9013928571428572,0,0.0,0.0,24.39221614285714,28.83893242857143,70.710108,90.34072642857143,0.9970758685714286,0.9996139428571428,1.0723857528571428,0,0.0,0.0,24.506892571428573,28.268537000000002,74.62850571428571,89.32513085714287,0.9969341742857143,0.9995039785714285,1.3241985957142859,0,0.0,0.0,25.228707285714286,27.405666,75.555553,87.28012571428572,0.9971134585714285,0.9995369914285713,1.3398729171428572,0,0.0,0.0,24.886160571428572,28.943564428571428,70.39807942857144,89.24585228571428,0.9970488228571429,0.9995356057142857,1.0054785928571428,26.914862499999998,4.057403857142855,79.82196585714286,18.847772857142843,0.0012433914285713832,26.317186642857145,2.176958714285714,81.41783935714287,11.724572714285713,0.0012117664285714036,26.387714785714287,3.7616444285714294,81.97681828571429,14.696625142857158,0.0012849021428570917,26.615574285714285,4.446716285714288,80.52541721428571,19.630618428571424,0.001269037142857088,26.731959785714288,6.450997285714287,78.97085849999999,28.95359328571429,0.0013422985714285907
2010-02-07,0,0.5,0.0,23.77246957142857,30.160457428571426,61.08706042857143,93.11862985714286,0.9983327528571427,1.0011851999999999,0.49434427999999997,0,0.5,0.0,24.92189685714286,29.382651285714285,66.38737542857142,88.79238071428571,0.9983546042857142,1.0010238285714286,0.5932243071428571,0,0.5,0.0,25.341988714285716,29.01355857142857,68.97802014285715,86.03621228571429,0.9982071614285715,1.00085679,0.49573999714285716,0,0.5,0.0,26.120579285714285,28.095603,73.20560571428571,84.67541857142858,0.9983313771428571,1.0009218285714285,0.5978656985714286,0,0.5,0.0,25.563101714285715,29.472333714285718,67.16435771428571,87.68548785714286,0.9983753014285713,1.0009959714285714,0.5864871571428572,27.517717714285716,3.909232000000003,77.42492278571429,20.521130142857146,0.0013103350000000513,27.10809114285714,1.9750237142857152,78.94051214285714,11.46981285714287,0.001295225714285697,27.177773642857144,3.671569857142856,77.50711621428572,17.058192142857138,0.001324814285714293,27.15227407142857,4.460754428571427,77.58987807142856,22.405005285714296,0.0013346121428571833,26.966463499999996,6.387987857142857,77.10284514285715,32.03156942857144,0.0014262235714285754
2010-02-14,0,0.5,0.0,23.366851714285712,29.573765428571427,62.969316285714285,92.91631442857144,0.9964710142857144,0.9994251857142858,0.7209971557142857,0,0.5,0.0,24.46493985714286,28.940168142857143,67.57830185714286,88.47242142857144,0.9964703157142857,0.9992654728571428,0.8362828428571428,0,0.5,0.0,24.80060657142857,28.489937857142856,70.797023,88.27775799999999,0.9963815814285715,0.9991100728571428,0.8709171428571428,0,0.5,0.0,25.66551,27.800973142857142,72.722378,84.61200985714287,0.9964918142857143,0.9991774957142857,0.8508371385714285,0,0.5,0.0,25.276624285714288,29.084403142857145,67.79356871428571,85.41919085714287,0.9965103085714285,0.9992084,0.83522426,27.180513714285716,3.807778857142857,76.6063797857143,17.625622142857154,0.0013490457142857348,26.73324157142857,2.135463142857141,78.66719392857144,11.88963185714286,0.001342840714285698,26.64527221428571,3.6893312857142853,79.53739049999999,17.480734999999996,0.0013642457142856723,26.702554,4.475228285714284,78.02536164285715,20.894119571428575,0.0013975785714285816,26.470308571428568,6.206913714285715,77.94281535714286,29.946998142857154,0.0014770857142857308
2010-02-21,0,0.5,0.0,24.034109857142855,30.83961257142857,60.30763885714286,92.31865,0.99820808,1.0012387,0.7487357128571429,0,0.5,0.0,25.140655428571428,29.875300714285714,65.64053542857143,88.45754685714284,0.9982523285714285,1.0010639857142858,0.8732428528571429,0,0.5,0.0,25.450892857142858,29.20703142857143,69.44963271428571,86.88884657142857,0.9981806614285714,1.0009590857142858,0.750288542,0,0.5,0.0,26.164864428571427,28.365059857142857,72.86554457142857,84.01408857142857,0.99828794,1.0009745,0.8565099971428571,0,0.5,0.0,25.882411285714287,29.715820285714283,67.69526285714286,86.45424014285713,0.9982546842857143,1.0009866571428572,0.84327429,27.799115785714285,3.833408999999996,77.07475149999999,18.758977285714266,0.0013659864285714418,27.264962142857144,2.20019542857143,78.43981657142857,11.148544000000001,0.0013432800000000578,27.328962142857144,3.756138571428572,78.16923964285715,17.43921385714286,0.001389212142857199,27.50797807142857,4.7346452857142864,77.04904114285713,22.81701142857142,0.0014058285714286245,27.436861214285713,6.805502714285716,76.31314442857143,32.01101114285714,0.001515309999999992
2010-02-28,0,0.5,0.0,24.096374571428573,31.042310571428573,63.42920257142857,94.01498942857143,0.9967280442857144,1.0000560814285715,0.6245342857142857,0,0.5,0.0,25.006417571428567,29.817600857142857,69.59380514285714,90.882539,0.9968071199999999,0.9998981728571429,0.7579971471428572,0,0.5,0.0,25.31421342857143,29.272752999999998,71.68978285714286,89.65487842857144,0.9968423614285714,0.9997841171428572,1.1159000085714286,0,0.5,0.0,25.98178114285714,28.052817285714287,76.91954342857142,87.55096357142858,0.9969235471428571,0.9998303457142858,0.9225828428571428,0,0.5,0.0,25.62395357142857,29.924089428571428,68.852726,88.91223142857143,0.9968957785714286,0.9998484042857143,0.9402842842857143,27.774021499999996,4.300135857142859,78.88247871428572,20.059505428571427,0.0014763128571428363,27.017299214285714,2.071036142857146,82.2352535,10.631420142857166,0.0014533992857143074,27.293483214285715,3.9585395714285667,80.67233064285715,17.965095571428577,0.0014708778571428938,27.41200921428571,4.811183285714289,80.23817207142856,21.28873385714286,0.0015455264285714754,27.56934257142857,6.945936,78.722096,30.585786857142857,0.0016640185714285605
2010-03-07,0,0.5,0.0,23.57889257142857,32.72530657142857,52.90317114285715,90.18871557142857,0.9955300714285714,0.9993290928571429,0.03544714284285714,0,0.5,0.0,24.906005999999998,31.361254,58.594317857142855,86.54465785714285,0.9957882657142857,0.9992391071428572,0.04637000098571429,0,0.5,0.0,25.300702714285713,30.92810928571429,60.00176471428572,85.75491914285715,0.99601176,0.99935477,0.026109999814285714,0,0.5,0.0,26.453526,29.453922714285714,67.39514514285715,82.4971,0.9961065857142858,0.9992583142857142,0.0648457148,0,0.5,0.0,25.78549185714286,31.29476485714286,59.623269428571426,84.92120857142856,0.9957172414285714,0.9990218057142857,0.07279428577142857,28.54012835714286,5.509273,72.272239,25.29793914285714,0.00165228214285712,27.953724357142857,3.0003967142857135,74.94612257142857,15.101954857142857,0.0015758642857142124,28.114406000000002,5.627406571428576,72.87834192857143,25.753154428571428,0.001671504999999962,28.133629999999997,6.455248000000001,72.56948785714286,27.950339999999997,0.0017254207142857747,28.152099571428572,9.146413999999996,71.54594335714286,37.28554442857143,0.0018995107142857348
